from_case,to_transaction,is_first_fraud
CC-0111,3011102,0
CC-0112,3009177,1
CC-0113,3009654,1
CC-0113,3009915,0
CC-0113,3010101,0
CC-0114,3006484,1
CC-0114,3006490,0
CC-0114,3008929,0
CC-0115,3010439,1
CC-0116,3011782,0
CC-0117,3009933,1
CC-0118,3003589,1
CC-0118,3006216,0
CC-0118,3006218,0
CC-0118,3006841,0
CC-0118,3007047,0
CC-0118,3009082,0
CC-0118,3009582,0
CC-0118,3010271,0
CC-0118,3010597,0
CC-0118,3010612,0
CC-0119,3008565,1
CC-0120,3011959,0
CC-0121,3000987,1
CC-0121,3001956,0
CC-0121,3002701,0
CC-0121,3003925,0
CC-0121,3005620,0
CC-0121,3005655,0
CC-0121,3006995,0
CC-0121,3008896,0
CC-0121,3009065,0
CC-0121,3009193,0
CC-0121,3011530,0
CC-0122,3000003,1
CC-0122,3000004,0
CC-0122,3000018,0
CC-0122,3000184,0
CC-0122,3000192,0
CC-0122,3000195,0
CC-0122,3000247,0
CC-0122,3000250,0
CC-0122,3001605,0
CC-0122,3002036,0
CC-0122,3002049,0
CC-0122,3002470,0
CC-0122,3002968,0
CC-0122,3004811,0
CC-0122,3004814,0
CC-0122,3004975,0
CC-0122,3004986,0
CC-0122,3004993,0
CC-0122,3006488,0
CC-0122,3006669,0
CC-0122,3006678,0
CC-0122,3006716,0
CC-0122,3008147,0
CC-0122,3009546,0
CC-0122,3009550,0
CC-0122,3010532,0
CC-0123,3010596,1
CC-0124,3001781,1
CC-0124,3004827,0
CC-0124,3005102,0
CC-0124,3005319,0
CC-0124,3010794,0
CC-0125,3013020,0
CC-0126,3007920,1
CC-0126,3012310,0
CC-0127,3008943,1
CC-0127,3009007,0
CC-0128,3006300,1
CC-0128,3006319,0
CC-0128,3006370,0
CC-0128,3009164,0
CC-0128,3010670,0
CC-0129,3012058,1
CC-0130,3013144,0
CC-0131,3012049,1
CC-0131,3012141,0
CC-0132,3010098,1
CC-0132,3010183,0
CC-0133,3010265,1
CC-0133,3011064,0
CC-0133,3011784,0
CC-0134,3010896,1
CC-0135,3000443,1
CC-0135,3000447,0
CC-0135,3001402,0
CC-0135,3008139,0
CC-0135,3009085,0
CC-0135,3012311,0
CC-0135,3012373,0
CC-0135,3012385,0
CC-0136,3007069,1
CC-0136,3008456,0
CC-0136,3008469,0
CC-0136,3010884,0
CC-0137,3000196,1
CC-0137,3003954,0
CC-0137,3009763,0
CC-0137,3009897,0
CC-0137,3009912,0
CC-0138,3013442,0
CC-0139,3011661,1
CC-0140,3012366,1
CC-0141,3001763,1
CC-0141,3006168,0
CC-0141,3009906,0
CC-0141,3013608,0
CC-0142,3013367,1
CC-0143,3010171,1
CC-0144,3013652,1
CC-0145,3008038,1
CC-0145,3009645,0
CC-0145,3010562,0
CC-0145,3012772,0
CC-0145,3012779,0
CC-0146,3010417,1
CC-0147,3003711,1
CC-0147,3003833,0
CC-0147,3004555,0
CC-0147,3011026,0
CC-0148,3011148,1
CC-0149,3013918,0
CC-0150,3013327,1
CC-0151,3012259,1
CC-0151,3012321,0
CC-0151,3012324,0
CC-0151,3012349,0
CC-0151,3012362,0
CC-0151,3013605,0
CC-0152,3014083,1
CC-0152,3014516,0
CC-0152,3014562,0
CC-0153,3000050,1
CC-0153,3000106,0
CC-0153,3001568,0
CC-0153,3001586,0
CC-0153,3003219,0
CC-0153,3003250,0
CC-0153,3005568,0
CC-0153,3005608,0
CC-0153,3007588,0
CC-0153,3008131,0
CC-0153,3008679,0
CC-0153,3008740,0
CC-0153,3008811,0
CC-0153,3008828,0
CC-0153,3008839,0
CC-0153,3009139,0
CC-0153,3009170,0
CC-0153,3009210,0
CC-0153,3009257,0
CC-0153,3009761,0
CC-0153,3011072,0
CC-0154,3012749,1
CC-0155,3010908,1
CC-0156,3012817,1
CC-0157,3011384,1
CC-0158,3012334,1
CC-0159,3013882,1
CC-0160,3010994,1
CC-0161,3014874,1
CC-0162,3013315,1
CC-0162,3013321,0
CC-0163,3014714,1
CC-0164,3013363,1
CC-0164,3013390,0
CC-0165,3014561,0
CC-0166,3015854,1
CC-0167,3011326,1
CC-0167,3013878,0
CC-0168,3011876,1
CC-0169,3010863,1
CC-0169,3015795,0
CC-0170,3014716,0
CC-0171,3015501,1
CC-0172,3012224,1
CC-0173,3016376,1
CC-0174,3014786,1
CC-0175,3016060,0
CC-0176,3011851,1
CC-0176,3011917,0
CC-0176,3015709,0
CC-0176,3015858,0
CC-0177,3015024,1
CC-0177,3015237,0
CC-0177,3015860,0
CC-0178,3013648,1
CC-0179,3012288,1
CC-0180,3016685,0
CC-0181,3016271,1
CC-0182,3017090,0
CC-0183,3015640,1
CC-0184,3012882,1
CC-0184,3012889,0
CC-0184,3014312,0
CC-0184,3016375,0
CC-0185,3012859,1
CC-0186,3015808,1
CC-0187,3014037,1
CC-0188,3013716,1
CC-0188,3013725,0
CC-0188,3013735,0
CC-0189,3017211,0
CC-0190,3014478,1
CC-0191,3014783,1
CC-0192,3015557,1
CC-0193,3015674,1
CC-0194,3015051,1
CC-0195,3017328,1
CC-0196,3018128,0
CC-0197,3014411,1
CC-0198,3017880,0
CC-0199,3017195,1
CC-0199,3017199,0
CC-0200,3006024,1
CC-0200,3009500,0
CC-0200,3009620,0
CC-0200,3015717,0
CC-0200,3015853,0
CC-0201,3016131,1
CC-0201,3017425,0
CC-0202,3017359,1
CC-0202,3017380,0
CC-0203,3012955,1
CC-0203,3014799,0
CC-0204,3015025,1
CC-0205,3016269,1
CC-0205,3016789,0
CC-0206,3017337,1
CC-0207,3015079,1
CC-0208,3019187,0
CC-0209,3015213,1
CC-0209,3015829,0
CC-0210,3019445,0
CC-0211,3011540,1
CC-0211,3011564,0
CC-0211,3018493,0
CC-0212,3018685,1
CC-0213,3018631,1
CC-0213,3019317,0
CC-0214,3020134,1
CC-0215,3020232,1
CC-0216,3018129,1
CC-0217,3018758,1
CC-0218,3020148,1
CC-0219,3020422,0
CC-0220,3017705,1
CC-0221,3017516,1
CC-0222,3020654,0
CC-0223,3008217,1
CC-0223,3008237,0
CC-0223,3008575,0
CC-0223,3009966,0
CC-0223,3016957,0
CC-0224,3020285,0
CC-0225,3018749,1
CC-0226,3001580,1
CC-0226,3006078,0
CC-0226,3006088,0
CC-0226,3008495,0
CC-0226,3015345,0
CC-0226,3015406,0
CC-0226,3018146,0
CC-0227,3020349,1
CC-0228,3017400,1
CC-0228,3019089,0
CC-0228,3019133,0
CC-0228,3019259,0
CC-0228,3019376,0
CC-0228,3019785,0
CC-0228,3019804,0
CC-0228,3019958,0
CC-0228,3019965,0
CC-0228,3020011,0
CC-0228,3020021,0
CC-0229,3021125,0
CC-0230,3010108,1
CC-0230,3012793,0
CC-0230,3019186,0
CC-0231,3020692,1
CC-0232,3018241,1
CC-0232,3018273,0
CC-0232,3018312,0
CC-0232,3018315,0
CC-0232,3018430,0
CC-0233,3017915,1
CC-0234,3021425,0
CC-0235,3020586,1
CC-0235,3020624,0
CC-0236,3019066,1
CC-0236,3021250,0
CC-0237,3015540,1
CC-0237,3018609,0
CC-0238,3005074,1
CC-0238,3008451,0
CC-0238,3014534,0
CC-0238,3014608,0
CC-0238,3014682,0
CC-0238,3015252,0
CC-0238,3015319,0
CC-0238,3015399,0
CC-0238,3016560,0
CC-0238,3017828,0
CC-0238,3017836,0
CC-0239,3021887,0
CC-0240,3017132,1
CC-0240,3020865,0
CC-0241,3020576,1
CC-0241,3020578,0
CC-0242,3021128,1
CC-0243,3016079,1
CC-0243,3016080,0
CC-0243,3016472,0
CC-0243,3016483,0
CC-0243,3017821,0
CC-0244,3021039,1
CC-0245,3021843,1
CC-0246,3019370,1
CC-0247,3020434,1
CC-0248,3021812,0
CC-0249,3022604,1
CC-0249,3022619,0
CC-0249,3022632,0
CC-0250,3018959,1
CC-0250,3021896,0
CC-0251,3018221,1
CC-0252,3022091,0
CC-0253,3019623,1
CC-0254,3008657,1
CC-0254,3011862,0
CC-0254,3016234,0
CC-0254,3017580,0
CC-0254,3017620,0
CC-0254,3021233,0
CC-0255,3014915,1
CC-0255,3014994,0
CC-0255,3018610,0
CC-0255,3019093,0
CC-0255,3019154,0
CC-0255,3019614,0
CC-0255,3022316,0
CC-0256,3021528,1
CC-0256,3021559,0
CC-0257,3019389,1
CC-0258,3019714,1
CC-0259,3023480,0
CC-0260,3024000,0
CC-0261,3023710,0
CC-0262,3022355,1
CC-0263,3020849,1
CC-0264,3023797,0
CC-0265,3023311,0
CC-0266,3024170,1
CC-0267,3024590,0
CC-0268,3020024,1
CC-0269,3024461,0
CC-0270,3023542,0
CC-0271,3024489,0
CC-0272,3021927,1
CC-0273,3014296,1
CC-0273,3016478,0
CC-0273,3021713,0
CC-0274,3021495,1
CC-0274,3021498,0
CC-0274,3023783,0
CC-0274,3023800,0
CC-0275,3023399,1
CC-0276,3016231,1
CC-0276,3023566,0
CC-0276,3023570,0
CC-0277,3021740,1
CC-0278,3023205,1
CC-0279,3023648,1
CC-0279,3024089,0
CC-0280,3022262,1
CC-0281,3024726,0
CC-0282,3022971,1
CC-0282,3024760,0
CC-0283,3023529,1
CC-0284,3021611,1
CC-0284,3021658,0
CC-0285,3018930,1
CC-0285,3023427,0
CC-0285,3023496,0
CC-0285,3023533,0
CC-0285,3023609,0
CC-0286,3022389,1
CC-0286,3023667,0
CC-0287,3023281,1
CC-0288,3020382,1
CC-0288,3022648,0
CC-0289,3024924,1
CC-0290,3009374,1
CC-0290,3011289,0
CC-0290,3015408,0
CC-0290,3015422,0
CC-0290,3017329,0
CC-0290,3020058,0
CC-0290,3022349,0
CC-0290,3023880,0
CC-0291,3022078,1
CC-0291,3024175,0
CC-0292,3025452,0
CC-0293,3018827,1
CC-0293,3021900,0
CC-0294,3022279,1
CC-0295,3024693,1
CC-0295,3024727,0
CC-0296,3026023,0
CC-0297,3022248,1
CC-0298,3026984,1
CC-0299,3026197,0
CC-0300,3027653,0
CC-0301,3026849,0
CC-0302,3024215,1
CC-0303,3025127,1
CC-0304,3022765,1
CC-0305,3017193,1
CC-0305,3020833,0
CC-0305,3022405,0
CC-0305,3022983,0
CC-0306,3026352,1
CC-0307,3024247,1
CC-0308,3027882,0
CC-0309,3027037,1
CC-0310,3027813,1
CC-0310,3027929,0
CC-0311,3024122,1
CC-0312,3024079,1
CC-0312,3024093,0
CC-0312,3024126,0
CC-0313,3025150,1
CC-0314,3028382,1
CC-0315,3028428,0
CC-0316,3026149,1
CC-0317,3027987,0
CC-0318,3028543,0
CC-0319,3028034,1
CC-0320,3026212,1
CC-0321,3024869,1
CC-0322,3021279,1
CC-0322,3027797,0
CC-0322,3027830,0
CC-0323,3024328,1
CC-0323,3028154,0
CC-0324,3024554,1
CC-0325,3028532,1
CC-0326,3028017,1
CC-0327,3025619,1
CC-0328,3016942,1
CC-0328,3017315,0
CC-0328,3018566,0
CC-0328,3020310,0
CC-0328,3026538,0
CC-0329,3027363,1
CC-0329,3027401,0
CC-0330,3027435,1
CC-0331,3010909,1
CC-0331,3010931,0
CC-0331,3010934,0
CC-0331,3011272,0
CC-0331,3012746,0
CC-0331,3012770,0
CC-0331,3013205,0
CC-0331,3013937,0
CC-0331,3013982,0
CC-0331,3015426,0
CC-0331,3015485,0
CC-0331,3016031,0
CC-0331,3019489,0
CC-0331,3022828,0
CC-0331,3022878,0
CC-0331,3024107,0
CC-0331,3025242,0
CC-0332,3027057,1
CC-0333,3020863,1
CC-0333,3022390,0
CC-0333,3024675,0
CC-0333,3027059,0
CC-0333,3027064,0
CC-0334,3013573,1
CC-0334,3016251,0
CC-0334,3016314,0
CC-0334,3017486,0
CC-0334,3021897,0
CC-0334,3022340,0
CC-0334,3025192,0
CC-0334,3025256,0
CC-0335,3026055,1
CC-0336,3029190,1
CC-0337,3028697,1
CC-0338,3028921,0
CC-0339,3029100,0
CC-0340,3027478,1
CC-0341,3025576,1
CC-0342,3020499,1
CC-0342,3026321,0
CC-0342,3026347,0
CC-0343,3015019,1
CC-0343,3016184,0
CC-0343,3016214,0
CC-0343,3016223,0
CC-0343,3022222,0
CC-0343,3026725,0
CC-0343,3026749,0
CC-0343,3027125,0
CC-0343,3027151,0
CC-0344,3030396,0
CC-0345,3030424,0
CC-0346,3028407,1
CC-0347,3023252,1
CC-0347,3023256,0
CC-0347,3023259,0
CC-0347,3027937,0
CC-0347,3027978,0
CC-0347,3027982,0
CC-0347,3027986,0
CC-0347,3028004,0
CC-0347,3028044,0
CC-0348,3030019,0
CC-0349,3028754,1
CC-0350,3031227,0
CC-0351,3028709,1
CC-0352,3026769,1
CC-0353,3026830,1
CC-0354,3029691,0
CC-0355,3028288,1
CC-0356,3030055,1
CC-0357,3025678,1
CC-0357,3029776,0
CC-0358,3025016,1
CC-0358,3026264,0
CC-0358,3028648,0
CC-0359,3030906,1
CC-0360,3028621,1
CC-0361,3026148,1
CC-0361,3027156,0
CC-0361,3027320,0
CC-0361,3030241,0
CC-0362,3030957,0
CC-0363,3024586,1
CC-0363,3030970,0
CC-0363,3031040,0
CC-0364,3027248,1
CC-0364,3027561,0
CC-0364,3027604,0
CC-0365,3024748,1
CC-0365,3028713,0
CC-0365,3029951,0
CC-0365,3030951,0
CC-0365,3031006,0
CC-0365,3032109,0
CC-0366,3029652,1
CC-0366,3030551,0
CC-0367,3030642,1
CC-0368,3032233,0
CC-0369,3028556,1
CC-0370,3030014,1
CC-0370,3030042,0
CC-0370,3030311,0
CC-0370,3030361,0
CC-0370,3030371,0
CC-0370,3030384,0
CC-0370,3030528,0
CC-0370,3030537,0
CC-0370,3030620,0
CC-0370,3030625,0
CC-0371,3031588,1
CC-0372,3029752,1
CC-0372,3029777,0
CC-0372,3029807,0
CC-0372,3032111,0
CC-0372,3032124,0
CC-0373,3028924,1
CC-0374,3032623,0
CC-0375,3029497,1
CC-0375,3029542,0
CC-0376,3031228,1
CC-0376,3031274,0
CC-0377,3030265,1
CC-0377,3030298,0
CC-0377,3031502,0
CC-0377,3031510,0
CC-0377,3031512,0
CC-0377,3031513,0
CC-0377,3031550,0
CC-0378,3023976,1
CC-0378,3029484,0
CC-0379,3031475,1
CC-0379,3032438,0
CC-0380,3033315,1
CC-0380,3033335,0
CC-0380,3033343,0
CC-0381,3030425,1
CC-0381,3030563,0
CC-0382,3034258,0
CC-0383,3033032,0
CC-0384,3033245,0
CC-0385,3032303,1
CC-0386,3033337,0
CC-0387,3026773,1
CC-0387,3026795,0
CC-0387,3029220,0
CC-0387,3030654,0
CC-0387,3030701,0
CC-0388,3034811,0
CC-0389,3033654,1
CC-0390,3033053,1
CC-0391,3031566,1
CC-0392,3033781,1
CC-0393,3033472,0
CC-0394,3032480,1
CC-0394,3032861,0
CC-0395,3030883,1
CC-0395,3034747,0
CC-0396,3033992,1
CC-0397,3034699,0
CC-0398,3031559,1
CC-0399,3035993,0
CC-0400,3034531,0
CC-0401,3033483,1
CC-0401,3033502,0
CC-0402,3034748,1
CC-0402,3034874,0
CC-0403,3030518,1
CC-0403,3032080,0
CC-0404,3028484,1
CC-0404,3032240,0
CC-0404,3034359,0
CC-0404,3034443,0
CC-0405,3035077,0
CC-0406,3034031,1
CC-0407,3035236,0
CC-0408,3036275,0
CC-0409,3029665,1
CC-0409,3033268,0
CC-0410,3035664,1
CC-0410,3035680,0
CC-0411,3033461,1
CC-0412,3033318,1
CC-0413,3035998,0
CC-0414,3034746,1
CC-0415,3033877,1
CC-0416,3033941,1
CC-0417,3035384,1
CC-0418,3035405,1
CC-0418,3035433,0
CC-0418,3035436,0
CC-0418,3035448,0
CC-0418,3035477,0
CC-0418,3035490,0
CC-0418,3035511,0
CC-0419,3036086,1
CC-0419,3036233,0
CC-0420,3034117,1
CC-0421,3029395,1
CC-0421,3035020,0
CC-0422,3033579,1
CC-0423,3033967,1
CC-0424,3035381,1
CC-0425,3037725,0
CC-0426,3034985,1
CC-0427,3033867,1
CC-0427,3035200,0
CC-0427,3035237,0
CC-0427,3035278,0
CC-0428,3037190,0
CC-0429,3032177,1
CC-0429,3033094,0
CC-0429,3034703,0
CC-0429,3036381,0
CC-0430,3038418,0
CC-0431,3036386,1
CC-0432,3038607,1
CC-0433,3038367,0
CC-0434,3037808,1
CC-0435,3038831,0
CC-0436,3037649,1
CC-0437,3027307,1
CC-0437,3030037,0
CC-0437,3034285,0
CC-0437,3035543,0
CC-0437,3037718,0
CC-0437,3037780,0
CC-0437,3037854,0
CC-0437,3037986,0
CC-0438,3038967,0
CC-0439,3039011,0
CC-0440,3036992,1
CC-0441,3039492,0
CC-0442,3036548,1
CC-0443,3039956,0
CC-0444,3039540,0
CC-0445,3039733,0
CC-0446,3039229,1
CC-0447,3032749,1
CC-0447,3036424,0
CC-0447,3036436,0
CC-0447,3036445,0
CC-0447,3036446,0
CC-0448,3037736,1
CC-0449,3038060,1
CC-0450,3034439,1
CC-0450,3040043,0
CC-0451,3037862,1
CC-0451,3038053,0
CC-0451,3038114,0
CC-0451,3038615,0
CC-0452,3017933,1
CC-0452,3022016,0
CC-0452,3028766,0
CC-0452,3028774,0
CC-0452,3032580,0
CC-0452,3032612,0
CC-0452,3032648,0
CC-0452,3033610,0
CC-0452,3035981,0
CC-0452,3036494,0
CC-0452,3036497,0
CC-0452,3036504,0
CC-0453,3033919,1
CC-0453,3037359,0
CC-0454,3039150,1
CC-0454,3039253,0
CC-0454,3039469,0
CC-0454,3039781,0
CC-0454,3039789,0
CC-0454,3040275,0
CC-0455,3031357,1
CC-0455,3031844,0
CC-0455,3035242,0
CC-0455,3035259,0
CC-0455,3035303,0
CC-0455,3039278,0
CC-0455,3039442,0
CC-0455,3039856,0
CC-0456,3029719,1
CC-0456,3029736,0
CC-0456,3029833,0
CC-0456,3029985,0
CC-0456,3031847,0
CC-0456,3036840,0
CC-0457,3038533,1
CC-0458,3037114,1
CC-0458,3037166,0
CC-0458,3037261,0
CC-0459,3041234,1
CC-0460,3024423,1
CC-0460,3030253,0
CC-0460,3036633,0
CC-0461,3039254,1
CC-0462,3040382,1
CC-0463,3004308,1
CC-0463,3004904,0
CC-0463,3005494,0
CC-0463,3005930,0
CC-0463,3006473,0
CC-0463,3007571,0
CC-0463,3011953,0
CC-0463,3012858,0
CC-0463,3013587,0
CC-0463,3015525,0
CC-0463,3018866,0
CC-0463,3021068,0
CC-0463,3024874,0
CC-0463,3024880,0
CC-0463,3029948,0
CC-0463,3030058,0
CC-0463,3032334,0
CC-0463,3038729,0
CC-0464,3040280,1
CC-0464,3040482,0
CC-0465,3038741,1
CC-0466,3039290,1
CC-0467,3012791,1
CC-0467,3012922,0
CC-0467,3018737,0
CC-0467,3024961,0
CC-0467,3025566,0
CC-0467,3025610,0
CC-0467,3031872,0
CC-0467,3037062,0
CC-0468,3041220,0
CC-0469,3042137,1
CC-0470,3042445,0
CC-0471,3041412,0
CC-0472,3032654,1
CC-0472,3038288,0
CC-0473,3041621,0
CC-0474,3042842,1
CC-0475,3037895,1
CC-0475,3037954,0
CC-0475,3040915,0
CC-0476,3041723,0
CC-0477,3041022,1
CC-0478,3042475,1
CC-0479,3041404,0
CC-0480,3019757,1
CC-0480,3020004,0
CC-0480,3020583,0
CC-0480,3022905,0
CC-0480,3023341,0
CC-0480,3023938,0
CC-0480,3031523,0
CC-0480,3031547,0
CC-0480,3036867,0
CC-0480,3036922,0
CC-0480,3040824,0
CC-0480,3040910,0
CC-0481,3039941,1
CC-0482,3039765,1
CC-0482,3039767,0
CC-0482,3039801,0
CC-0482,3040116,0
CC-0482,3040120,0
CC-0482,3040129,0
CC-0482,3040150,0
CC-0482,3040167,0
CC-0483,3043635,0
CC-0484,3042723,1
CC-0485,3040545,1
CC-0486,3042493,0
CC-0487,3043204,0
CC-0488,3043733,0
CC-0489,3043790,0
CC-0490,3041302,1
CC-0491,3042013,1
CC-0492,3044042,0
CC-0493,3044053,0
CC-0494,3043682,1
CC-0495,3043453,1
CC-0496,3010078,1
CC-0496,3012878,0
CC-0496,3017276,0
CC-0496,3020816,0
CC-0496,3023168,0
CC-0496,3027744,0
CC-0496,3028120,0
CC-0496,3032536,0
CC-0496,3034251,0
CC-0496,3035579,0
CC-0496,3036333,0
CC-0496,3042039,0
CC-0497,3040510,1
CC-0497,3041273,0
CC-0498,3031554,1
CC-0498,3031628,0
CC-0498,3031686,0
CC-0498,3032422,0
CC-0498,3033022,0
CC-0498,3035524,0
CC-0498,3036957,0
CC-0498,3041186,0
CC-0498,3043181,0
CC-0499,3042657,1
CC-0499,3042847,0
CC-0500,3042529,1
CC-0501,3030488,1
CC-0501,3034831,0
CC-0501,3037527,0
CC-0501,3038238,0
CC-0501,3042256,0
CC-0502,3044202,1
CC-0503,3040534,1
CC-0503,3042956,0
CC-0504,3037369,1
CC-0504,3039132,0
CC-0504,3039196,0
CC-0504,3043063,0
CC-0505,3021547,1
CC-0505,3025341,0
CC-0505,3030339,0
CC-0505,3036970,0
CC-0505,3041319,0
CC-0506,3037792,1
CC-0506,3041089,0
CC-0506,3041145,0
CC-0507,3026078,1
CC-0507,3026162,0
CC-0507,3026260,0
CC-0507,3026350,0
CC-0507,3026374,0
CC-0507,3026925,0
CC-0507,3030001,0
CC-0507,3030341,0
CC-0507,3032017,0
CC-0507,3037272,0
CC-0507,3042125,0
CC-0507,3042127,0
CC-0508,3041850,1
CC-0509,3039577,1
CC-0509,3039806,0
CC-0509,3041493,0
CC-0509,3041606,0
CC-0510,3044174,1
CC-0511,3043573,1
CC-0512,3043492,1
CC-0512,3043577,0
CC-0513,3043135,1
CC-0514,3041983,1
CC-0515,3043516,1
CC-0516,3045489,0
CC-0517,3044684,1
CC-0518,3045400,1
CC-0519,3034681,1
CC-0519,3038112,0
CC-0519,3038678,0
CC-0519,3038768,0
CC-0519,3038787,0
CC-0519,3045664,0
CC-0519,3045696,0
CC-0519,3046901,0
CC-0520,3044575,1
CC-0521,3044693,1
CC-0522,3045204,0
CC-0523,3038229,1
CC-0523,3044512,0
CC-0523,3046251,0
CC-0523,3046298,0
CC-0524,3024432,1
CC-0524,3025185,0
CC-0524,3030100,0
CC-0524,3034169,0
CC-0524,3037627,0
CC-0524,3037764,0
CC-0524,3037772,0
CC-0524,3037803,0
CC-0524,3038663,0
CC-0524,3042486,0
CC-0524,3044811,0
CC-0525,3046054,0
CC-0526,3046516,0
CC-0527,3038894,1
CC-0527,3038922,0
CC-0527,3047100,0
CC-0528,3044199,1
CC-0528,3044647,0
CC-0528,3044712,0
CC-0528,3046741,0
CC-0528,3047248,0
CC-0528,3047302,0
CC-0528,3047732,0
CC-0529,3035821,1
CC-0529,3043628,0
CC-0530,3044734,1
CC-0531,3032389,1
CC-0531,3032398,0
CC-0531,3032401,0
CC-0531,3036148,0
CC-0531,3036178,0
CC-0531,3037778,0
CC-0531,3037965,0
CC-0531,3037994,0
CC-0531,3038001,0
CC-0531,3038002,0
CC-0531,3038017,0
CC-0531,3038027,0
CC-0531,3038028,0
CC-0531,3038040,0
CC-0531,3038068,0
CC-0531,3038074,0
CC-0531,3038096,0
CC-0531,3038100,0
CC-0531,3046367,0
CC-0532,3045976,1
CC-0533,3032451,1
CC-0533,3035977,0
CC-0533,3043251,0
CC-0534,3047859,0
CC-0535,3037814,1
CC-0535,3037888,0
CC-0535,3044146,0
CC-0536,3047270,0
CC-0537,3047296,1
CC-0537,3047320,0
CC-0538,3048224,1
CC-0539,3048101,0
CC-0540,3044601,1
CC-0541,3040177,1
CC-0541,3045925,0
CC-0542,3046299,1
CC-0543,3038455,1
CC-0543,3045564,0
CC-0544,3046768,1
