case_id,customer_id,card_id,opened_at,closed_at,outcome,pattern,exposure_usd,report_filed,actions_taken,analyst_notes,txn_ids,connected_card_ids
CC-0011,C13259,C13259-K1,2016-07-03 07:46:35,2016-07-06 16:46:35,confirmed_fraud,card_not_present_new_device,149.95,No,CREATE_CASE|BLOCK_CARD,"Case CC-0011: cardholder C13259 reported unrecognized activity on card C13259-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $149.95 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a SM-G550T Build/MMB29K on chrome 59.0 for android. Card blocked and reissued. Customer reimbursed.",3000989,
CC-0012,C07220,C07220-K1,2016-07-03 08:40:41,2016-07-07 23:40:41,confirmed_fraud,card_not_present_fraud,123.52,No,CREATE_CASE|BLOCK_CARD,Case CC-0012: cardholder C07220 reported unrecognized activity on card C07220-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $123.52 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.,3002019,
CC-0013,C11464,C11464-K2,2016-07-03 09:17:43,2016-07-06 06:17:43,confirmed_fraud,account_takeover,261.95,No,CREATE_CASE|BLOCK_CARD,Case CC-0013: cardholder C11464 reported unrecognized activity on card C11464-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $261.95 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.,3002951,
CC-0014,C01002,C01002-K1,2016-07-03 09:35:08,2016-07-08 23:35:08,confirmed_fraud,card_not_present_fraud,75.15,No,CREATE_CASE|BLOCK_CARD,Case CC-0014: cardholder C01002 reported unrecognized activity on card C01002-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $75.15 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on chrome 62.0. Card blocked and reissued. Customer reimbursed.,3002010,
CC-0015,C04597,C04597-K2,2016-07-03 11:43:21,2016-07-05 03:43:21,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0015: model scored a $93.80 transaction at 0.92. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.,3002758,
CC-0016,C03575,C03575-K2,2016-07-03 18:31:19,2016-07-04 22:31:19,confirmed_fraud,out_of_region_use,68.46,No,CREATE_CASE|BLOCK_CARD,"Case CC-0016: cardholder C03575 reported unrecognized activity on card C03575-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $68.46 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",3001839,
CC-0017,C03651,C03651-K2,2016-07-03 18:52:00,2016-07-04 12:52:00,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0017: model scored a $149.97 transaction at 0.88. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.,3003172,
CC-0018,C06800,C06800-K1,2016-07-03 19:37:07,2016-07-04 20:37:07,confirmed_fraud,card_not_present_new_device,150.07,No,CREATE_CASE|BLOCK_CARD,"Case CC-0018: cardholder C06800 reported unrecognized activity on card C06800-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $150.07 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.",3001565,
CC-0019,C06208,C06208-K1,2016-07-03 21:52:10,2016-07-05 01:52:10,confirmed_fraud,card_not_present_new_device,225.09,No,CREATE_CASE|BLOCK_CARD,"Case CC-0019: cardholder C06208 reported unrecognized activity on card C06208-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $225.09 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a rv:52.0 on firefox. Card blocked and reissued. Customer reimbursed.",3002476,
CC-0020,C11082,C11082-K1,2016-07-03 21:54:56,2016-07-09 16:54:56,confirmed_fraud,account_takeover,433.91,No,CREATE_CASE|BLOCK_CARD,Case CC-0020: cardholder C11082 reported unrecognized activity on card C11082-K1. 4 transaction(s) between 2016-07-02 and 2016-07-03 totaling $433.91 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.,3000808|3000825|3003871|3003906,
CC-0021,C04265,C04265-K1,2016-07-03 22:08:36,2016-07-05 16:08:36,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0021: model scored a $50.09 transaction at 0.86. Cardholder confirmed travel to the billing region in question. Alert cleared.,3003708,
CC-0022,C07847,C07847-K2,2016-07-03 22:54:31,2016-07-04 20:54:31,confirmed_fraud,card_not_present_fraud,100.04,No,CREATE_CASE|BLOCK_CARD,Case CC-0022: cardholder C07847 reported unrecognized activity on card C07847-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $100.04 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on firefox 57.0. Card blocked and reissued. Customer reimbursed.,3001611,
CC-0023,C11309,C11309-K1,2016-07-03 23:05:27,2016-07-05 18:05:27,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0023: model scored a $24.91 transaction at 0.94. Cardholder confirmed travel to the billing region in question. Alert cleared.,3004228,
CC-0024,C06059,C06059-K2,2016-07-03 23:13:51,2016-07-08 15:13:51,confirmed_fraud,account_takeover,1894.06,Yes,CREATE_CASE|BLOCK_CARD|FILE_REPORT,"Case CC-0024: cardholder C06059 reported unrecognized activity on card C06059-K2. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $1,894.06 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.",3003459|3003503,
CC-0025,C12311,C12311-K2,2016-07-03 23:24:56,2016-07-05 15:24:56,confirmed_fraud,account_takeover,100.00,No,CREATE_CASE|BLOCK_CARD,Case CC-0025: cardholder C12311 reported unrecognized activity on card C12311-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $100.00 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.,3003546,
CC-0026,C08842,C08842-K2,2016-07-03 23:36:27,2016-07-05 18:36:27,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0026: model scored a $200.07 transaction at 0.99. Cardholder confirmed travel to the billing region in question. Alert cleared.,3004354,
CC-0027,C02999,C02999-K2,2016-07-04 00:21:14,2016-07-05 16:21:14,confirmed_fraud,account_takeover,59.06,No,CREATE_CASE|BLOCK_CARD,Case CC-0027: cardholder C02999 reported unrecognized activity on card C02999-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $59.06 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.,3003757,
CC-0028,C07741,C07741-K2,2016-07-04 00:40:19,2016-07-07 15:40:19,confirmed_fraud,card_not_present_fraud,250.04,No,CREATE_CASE|BLOCK_CARD,Case CC-0028: cardholder C07741 reported unrecognized activity on card C07741-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $250.04 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a SAMSUNG SM-J327T Build/NRD90M on samsung browser 6.2. Card blocked and reissued. Customer reimbursed.,3003607,
CC-0029,C03277,C03277-K1,2016-07-04 00:43:03,2016-07-06 00:43:03,confirmed_fraud,card_not_present_new_device,600.08,No,CREATE_CASE|BLOCK_CARD,"Case CC-0029: cardholder C03277 reported unrecognized activity on card C03277-K1. 3 transaction(s) between 2016-07-02 and 2016-07-03 totaling $600.08 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a MacOS on safari generic. Card blocked and reissued. Customer reimbursed.",3000150|3002210|3002242,
CC-0030,C04762,C04762-K1,2016-07-04 00:57:01,2016-07-07 16:57:01,confirmed_fraud,out_of_region_use,59.01,No,CREATE_CASE|BLOCK_CARD,"Case CC-0030: cardholder C04762 reported unrecognized activity on card C04762-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $59.01 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",3003913,
CC-0031,C11923,C11923-K2,2016-07-04 01:23:36,2016-07-07 22:23:36,confirmed_fraud,card_not_present_new_device,20.36,No,CREATE_CASE|BLOCK_CARD,"Case CC-0031: cardholder C11923 reported unrecognized activity on card C11923-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $20.36 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a Trident/7.0 on ie 11.0 for desktop. Card blocked and reissued. Customer reimbursed.",3001820,
CC-0032,C09289,C09289-K1,2016-07-04 02:02:25,2016-07-05 22:02:25,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0032: model scored a $100.01 transaction at 0.85. Cardholder confirmed travel to the billing region in question. Alert cleared.,3005276,
CC-0033,C05704,C05704-K2,2016-07-04 02:32:22,2016-07-08 23:32:22,confirmed_fraud,account_takeover,374.83,No,CREATE_CASE|BLOCK_CARD,Case CC-0033: cardholder C05704 reported unrecognized activity on card C05704-K2. 3 transaction(s) between 2016-07-02 and 2016-07-02 totaling $374.83 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.,3001937|3001952|3001999,
CC-0034,C03880,C03880-K1,2016-07-04 02:48:44,2016-07-05 00:48:44,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,"Case CC-0034: model scored a $1,486.49 transaction at 0.89. Cardholder confirmed the purchase. Amount unusual for this customer but consistent with their stated intent. Alert cleared.",3005972,
CC-0035,C09196,C09196-K1,2016-07-04 03:40:55,2016-07-08 20:40:55,confirmed_fraud,card_not_present_fraud,150.05,No,CREATE_CASE|BLOCK_CARD,Case CC-0035: cardholder C09196 reported unrecognized activity on card C09196-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $150.05 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.,3004895,
CC-0036,C03738,C03738-K2,2016-07-04 04:15:53,2016-07-06 14:15:53,confirmed_fraud,account_takeover,137.01,No,CREATE_CASE|BLOCK_CARD,Case CC-0036: cardholder C03738 reported unrecognized activity on card C03738-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $137.01 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.,3003325,
CC-0037,C05996,C05996-K1,2016-07-04 04:29:21,2016-07-07 03:29:21,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0037: model scored a $31.38 transaction at 0.84. Cardholder confirmed travel to the billing region in question. Alert cleared.,3006461,
CC-0038,C02717,C02717-K1,2016-07-04 05:10:48,2016-07-07 02:10:48,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0038: model scored a $200.01 transaction at 0.86. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.,3006275,
CC-0039,C13061,C13061-K1,2016-07-04 05:52:18,2016-07-08 19:52:18,confirmed_fraud,account_takeover,170.93,No,CREATE_CASE|BLOCK_CARD,Case CC-0039: cardholder C13061 reported unrecognized activity on card C13061-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $170.93 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.,3004695,
CC-0040,C08675,C08675-K1,2016-07-04 06:10:07,2016-07-05 03:10:07,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0040: model scored a $49.97 transaction at 0.90. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.,3006416,
CC-0041,C07648,C07648-K2,2016-07-04 06:39:11,2016-07-07 16:39:11,confirmed_fraud,out_of_region_use,75.03,No,CREATE_CASE|BLOCK_CARD,"Case CC-0041: cardholder C07648 reported unrecognized activity on card C07648-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $75.03 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",3003842,
CC-0042,C12094,C12094-K2,2016-07-04 07:37:59,2016-07-05 02:37:59,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0042: model scored a $49.95 transaction at 0.91. Cardholder confirmed travel to the billing region in question. Alert cleared.,3006354,
CC-0043,C10164,C10164-K1,2016-07-04 08:03:02,2016-07-09 07:03:02,confirmed_fraud,out_of_region_use,87.01,No,CREATE_CASE|BLOCK_CARD,"Case CC-0043: cardholder C10164 reported unrecognized activity on card C10164-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $87.01 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",3002981,
CC-0044,C06147,C06147-K2,2016-07-04 09:49:26,2016-07-05 22:49:26,confirmed_fraud,out_of_region_use,13.33,No,CREATE_CASE|BLOCK_CARD,"Case CC-0044: cardholder C06147 reported unrecognized activity on card C06147-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $13.33 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",3005476,
CC-0045,C07212,C07212-K2,2016-07-04 10:11:50,2016-07-05 22:11:50,confirmed_fraud,out_of_region_use,1282.82,Yes,CREATE_CASE|BLOCK_CARD|FILE_REPORT,"Case CC-0045: cardholder C07212 reported unrecognized activity on card C07212-K2. 4 transaction(s) between 2016-07-02 and 2016-07-03 totaling $1,282.82 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",3001632|3002781|3003811|3005310,
CC-0046,C01579,C01579-K1,2016-07-04 10:37:34,2016-07-08 04:37:34,confirmed_fraud,card_not_present_new_device,10.04,No,CREATE_CASE|BLOCK_CARD,"Case CC-0046: cardholder C01579 reported unrecognized activity on card C01579-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $10.04 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a KFFOWI Build/LVY48F on chrome generic. Card blocked and reissued. Customer reimbursed.",3002840,
CC-0047,C03108,C03108-K1,2016-07-04 11:05:08,2016-07-08 20:05:08,confirmed_fraud,card_not_present_fraud,50.05,No,CREATE_CASE|BLOCK_CARD,Case CC-0047: cardholder C03108 reported unrecognized activity on card C03108-K1. 5 transaction(s) between 2016-07-03 and 2016-07-03 totaling $50.05 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a KFFOWI Build/LVY48F on chrome generic. Card blocked and reissued. Customer reimbursed.,3002820|3002828|3004711|3004734|3004746,
CC-0048,C11309,C11309-K1,2016-07-04 11:15:59,2016-07-06 03:15:59,confirmed_fraud,card_not_present_fraud,149.96,No,CREATE_CASE|BLOCK_CARD,Case CC-0048: cardholder C11309 reported unrecognized activity on card C11309-K1. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $149.96 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a iOS Device on mobile safari 9.0. Card blocked and reissued. Customer reimbursed.,3006432,
CC-0049,C01638,C01638-K1,2016-07-04 11:25:48,2016-07-07 20:25:48,confirmed_fraud,card_not_present_fraud,399.95,No,CREATE_CASE|BLOCK_CARD,Case CC-0049: cardholder C01638 reported unrecognized activity on card C01638-K1. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $399.95 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on firefox 57.0. Card blocked and reissued. Customer reimbursed.,3004818|3004823,
CC-0050,C09221,C09221-K2,2016-07-04 13:08:31,2016-07-06 01:08:31,confirmed_fraud,out_of_region_use,48.01,No,CREATE_CASE|BLOCK_CARD,"Case CC-0050: cardholder C09221 reported unrecognized activity on card C09221-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $48.01 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",3006044,
CC-0051,C05976,C05976-K1,2016-07-04 14:46:15,2016-07-07 10:46:15,confirmed_fraud,account_takeover,177.02,No,CREATE_CASE|BLOCK_CARD,Case CC-0051: cardholder C05976 reported unrecognized activity on card C05976-K1. 2 transaction(s) between 2016-07-04 and 2016-07-04 totaling $177.02 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.,3006772|3006774,
CC-0052,C11595,C11595-K1,2016-07-04 15:45:08,2016-07-05 20:45:08,confirmed_fraud,card_not_present_fraud,52.36,No,CREATE_CASE|BLOCK_CARD,Case CC-0052: cardholder C11595 reported unrecognized activity on card C11595-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $52.36 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.,3004914,
CC-0053,C02000,C02000-K2,2016-07-04 17:06:12,2016-07-06 06:06:12,confirmed_fraud,out_of_region_use,774.08,No,CREATE_CASE|BLOCK_CARD,"Case CC-0053: cardholder C02000 reported unrecognized activity on card C02000-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $774.08 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",3006690,
CC-0054,C05736,C05736-K1,2016-07-04 17:29:18,2016-07-07 20:29:18,confirmed_fraud,card_not_present_fraud,60.71,No,CREATE_CASE|BLOCK_CARD,Case CC-0054: cardholder C05736 reported unrecognized activity on card C05736-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $60.71 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Y635-L03 Build/HuaweiY635-L03 on chrome 62.0 for android. Card blocked and reissued. Customer reimbursed.,3004838,
CC-0055,C04248,C04248-K2,2016-07-04 18:17:23,2016-07-06 00:17:23,confirmed_fraud,card_not_present_fraud,83.69,No,CREATE_CASE|BLOCK_CARD,Case CC-0055: cardholder C04248 reported unrecognized activity on card C04248-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $83.69 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.,3005851,
CC-0056,C13171,C13171-K2,2016-07-04 18:17:38,2016-07-06 15:17:38,confirmed_fraud,card_not_present_new_device,40.21,No,CREATE_CASE|BLOCK_CARD,"Case CC-0056: cardholder C13171 reported unrecognized activity on card C13171-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $40.21 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Card blocked and reissued. Customer reimbursed.",3003521,
CC-0057,C12598,C12598-K2,2016-07-04 18:42:19,2016-07-06 02:42:19,confirmed_fraud,account_takeover,108.42,No,CREATE_CASE|BLOCK_CARD,Case CC-0057: cardholder C12598 reported unrecognized activity on card C12598-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $108.42 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.,3006366,
CC-0058,C03412,C03412-K1,2016-07-04 18:53:38,2016-07-05 15:53:38,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0058: model scored a $99.99 transaction at 0.88. Cardholder confirmed travel to the billing region in question. Alert cleared.,3007307,
CC-0059,C09165,C09165-K2,2016-07-04 19:05:35,2016-07-06 23:05:35,confirmed_fraud,card_not_present_new_device,185.01,No,CREATE_CASE|BLOCK_CARD,"Case CC-0059: cardholder C09165 reported unrecognized activity on card C09165-K2. 4 transaction(s) between 2016-07-02 and 2016-07-03 totaling $185.01 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Card blocked and reissued. Customer reimbursed.",3000904|3001479|3005523|3005542,
CC-0060,C03348,C03348-K1,2016-07-04 19:18:54,2016-07-06 14:18:54,confirmed_fraud,card_not_present_fraud,899.98,No,CREATE_CASE|BLOCK_CARD,Case CC-0060: cardholder C03348 reported unrecognized activity on card C03348-K1. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $899.98 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.,3003331|3003334,
CC-0061,C03699,C03699-K1,2016-07-04 19:51:11,2016-07-06 13:51:11,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0061: model scored a $99.97 transaction at 0.86. Cardholder confirmed travel to the billing region in question. Alert cleared.,3006964,
CC-0062,C07867,C07867-K2,2016-07-04 20:30:28,2016-07-06 08:30:28,confirmed_fraud,out_of_region_use,526.98,No,CREATE_CASE|BLOCK_CARD,"Case CC-0062: cardholder C07867 reported unrecognized activity on card C07867-K2. 4 transaction(s) between 2016-07-03 and 2016-07-04 totaling $526.98 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.",3003096|3003109|3003149|3006742,
CC-0063,C11000,C11000-K2,2016-07-04 20:35:01,2016-07-06 17:35:01,confirmed_fraud,account_takeover,2659.62,Yes,CREATE_CASE|BLOCK_CARD|FILE_REPORT,"Case CC-0063: cardholder C11000 reported unrecognized activity on card C11000-K2. 12 transaction(s) between 2016-07-02 and 2016-07-04 totaling $2,659.62 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a Windows on firefox 57.0. Card blocked and reissued. Customer reimbursed.",3000256|3001075|3005210|3006200|3006850|3006853|3006859|3006872|3006996|3007008|3007451|3007722,
CC-0064,C13005,C13005-K1,2016-07-04 20:35:05,2016-07-08 18:35:05,confirmed_fraud,card_not_present_fraud,450.10,No,CREATE_CASE|BLOCK_CARD,Case CC-0064: cardholder C13005 reported unrecognized activity on card C13005-K1. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $450.10 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on chrome 62.0. Card blocked and reissued. Customer reimbursed.,3004342|3004343,
CC-0065,C03839,C03839-K1,2016-07-04 20:48:28,2016-07-05 15:48:28,cleared,none,0.00,No,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,Case CC-0065: model scored a $149.94 transaction at 0.83. Cardholder confirmed travel to the billing region in question. Alert cleared.,3007293,
