from_card,to_transaction
C02354-K2,3000110
C08842-K2,3000111
C07505-K1,3000112
C11923-K2,3000113
C11923-K2,3000114
C13001-K1,3000115
C03218-K2,3000116
C08037-K1,3000117
C08842-K2,3000118
C09936-K1,3000119
C00259-K1,3000120
C12863-K1,3000121
C08841-K1,3000122
C11923-K2,3000123
C01109-K2,3000124
C00750-K2,3000125
C02515-K2,3000126
C11923-K2,3000127
C08605-K1,3000128
C12961-K2,3000129
C09998-K1,3000130
C07867-K2,3000131
C05560-K2,3000132
C09363-K2,3000133
C01828-K2,3000134
C11000-K2,3000135
C09872-K1,3000136
C09253-K1,3000137
C08391-K2,3000138
C05704-K2,3000139
C01048-K1,3000140
C03047-K2,3000141
C12942-K2,3000142
C00272-K1,3000143
C08662-K1,3000144
C06791-K1,3000145
C10656-K1,3000146
C09405-K1,3000147
C12517-K2,3000148
C05622-K1,3000149
C03277-K1,3000150
C11464-K2,3000151
C07648-K2,3000152
C07212-K2,3000153
C02250-K2,3000154
C05689-K2,3000155
C12942-K2,3000156
C01109-K2,3000157
C07648-K2,3000158
C00750-K2,3000159
C06791-K1,3000160
C02515-K2,3000161
C11709-K2,3000162
C07867-K2,3000163
C11923-K2,3000164
C03218-K2,3000165
C03218-K2,3000166
C01154-K1,3000167
C02331-K1,3000168
C10755-K1,3000169
C05078-K1,3000170
C04108-K2,3000171
C11923-K2,3000172
C03218-K2,3000173
C11227-K2,3000174
C02342-K1,3000175
C12907-K1,3000176
C11709-K2,3000177
C05996-K2,3000178
C12942-K2,3000179
C08027-K1,3000180
C06055-K1,3000181
C12942-K2,3000182
C08945-K2,3000183
C11919-K2,3000184
C08027-K1,3000185
C05996-K2,3000186
C05622-K1,3000187
C11709-K2,3000188
C12682-K1,3000189
C11923-K2,3000190
C01909-K2,3000191
C11919-K2,3000192
C10270-K1,3000193
C12598-K2,3000194
C11919-K2,3000195
C12982-K1,3000196
C11923-K2,3000197
C06147-K2,3000198
C13440-K2,3000199
C03351-K2,3000200
C08027-K1,3000201
C12722-K1,3000202
C03218-K2,3000203
C11923-K2,3000204
C04361-K2,3000205
C00614-K2,3000206
C10867-K1,3000207
C10852-K1,3000208
C01909-K2,3000209
C06885-K1,3000210
C03218-K2,3000211
C06811-K1,3000212
C10852-K1,3000213
C00614-K2,3000214
C09671-K1,3000215
C07033-K1,3000216
C11923-K2,3000217
C03218-K2,3000218
C03771-K1,3000219
C09165-K2,3000220
C03218-K2,3000221
C01909-K2,3000222
C12084-K2,3000223
C03851-K2,3000224
C01333-K2,3000225
C11000-K2,3000226
C01521-K2,3000227
C11709-K2,3000228
C12961-K2,3000229
C09750-K1,3000230
C03218-K2,3000231
C11923-K2,3000232
C01109-K2,3000233
C01525-K2,3000234
C00844-K1,3000235
C11709-K2,3000236
C07220-K1,3000237
C08945-K2,3000238
C12942-K2,3000239
C01563-K1,3000240
C01954-K1,3000241
C11923-K2,3000242
C09947-K1,3000243
C13449-K1,3000244
C10955-K2,3000245
C10516-K1,3000246
C11919-K2,3000247
C04582-K1,3000248
C02134-K1,3000249
C11919-K2,3000250
C00331-K1,3000251
C02608-K1,3000252
C00844-K1,3000253
C06403-K2,3000254
C03218-K2,3000255
C11000-K2,3000256
C03771-K1,3000257
C03218-K2,3000258
C05196-K1,3000259
C02354-K2,3000260
C12094-K2,3000261
C00969-K2,3000262
C03363-K2,3000263
C00732-K1,3000264
C00094-K3,3000265
C02902-K2,3000266
C03412-K1,3000267
C10239-K1,3000268
C09363-K2,3000269
C07058-K1,3000270
C04105-K2,3000271
C11883-K1,3000272
C12094-K2,3000273
C11923-K2,3000274
C03474-K1,3000275
C06403-K1,3000276
C03649-K1,3000277
C08842-K2,3000278
C05958-K1,3000279
C11923-K2,3000280
C09339-K1,3000281
C07803-K1,3000282
C07058-K1,3000283
C12124-K1,3000284
C07523-K1,3000285
C01109-K2,3000286
C09184-K1,3000287
C03218-K2,3000288
C03218-K2,3000289
C05128-K1,3000290
C04034-K2,3000291
C03556-K1,3000292
C12961-K2,3000293
C08120-K1,3000294
C08945-K2,3000295
C08925-K1,3000296
C05961-K1,3000297
C08945-K2,3000298
C05098-K1,3000299
C08945-K2,3000300
C07648-K2,3000301
C10906-K1,3000302
C10778-K1,3000303
C05276-K2,3000304
C11923-K2,3000305
C11309-K1,3000306
C08945-K2,3000307
C05277-K1,3000308
C03047-K2,3000309
C10397-K1,3000310
C08945-K2,3000311
C01521-K2,3000312
C04313-K1,3000313
C11923-K2,3000314
C11873-K2,3000315
C07212-K2,3000316
C01521-K2,3000317
C10553-K1,3000318
C07212-K2,3000319
C05010-K1,3000320
C11923-K2,3000321
C11923-K2,3000322
C13440-K2,3000323
C03556-K1,3000324
C10553-K1,3000325
C11929-K2,3000326
C08945-K2,3000327
C08749-K1,3000328
C06678-K1,3000329
C02902-K2,3000330
C03218-K2,3000331
C06403-K2,3000332
C13372-K1,3000333
C09827-K1,3000334
C00969-K2,3000335
C13440-K2,3000336
C13440-K2,3000337
C08945-K2,3000338
C03556-K1,3000339
C13440-K2,3000340
C05258-K1,3000341
C13440-K2,3000342
C08945-K2,3000343
C13440-K2,3000344
C13440-K2,3000345
C13440-K2,3000346
C13440-K2,3000347
C13440-K2,3000348
C05258-K1,3000349
C13440-K2,3000350
C13440-K2,3000351
C13440-K2,3000352
C13440-K2,3000353
C13440-K2,3000354
C05128-K1,3000355
C13440-K2,3000356
C13440-K2,3000357
C13440-K2,3000358
C13440-K2,3000359
C13440-K2,3000360
C13440-K2,3000361
C13440-K2,3000362
C13440-K2,3000363
C13440-K2,3000364
C01959-K1,3000365
C03883-K1,3000366
C13440-K2,3000367
C13440-K2,3000368
C13440-K2,3000369
C13440-K2,3000370
C13440-K2,3000371
C13440-K2,3000372
C05258-K1,3000373
C07227-K2,3000374
C13440-K2,3000375
C13440-K2,3000376
C02354-K2,3000377
C05128-K1,3000378
C06678-K1,3000379
C13440-K2,3000380
C11923-K2,3000381
C13440-K2,3000382
C13440-K2,3000383
C13440-K2,3000384
C13440-K2,3000385
C05961-K1,3000386
C13440-K2,3000387
C13440-K2,3000388
C13440-K2,3000389
C05961-K1,3000390
C11000-K2,3000391
C08945-K2,3000392
C13440-K2,3000393
C13440-K2,3000394
C13440-K2,3000395
C13440-K2,3000396
C13440-K2,3000397
C13440-K2,3000398
C03858-K1,3000399
C07504-K1,3000400
C13440-K2,3000401
C13440-K2,3000402
C04707-K1,3000403
C12517-K2,3000404
C13440-K2,3000405
C05128-K1,3000406
C13440-K2,3000407
C13440-K2,3000408
C13440-K2,3000409
C13440-K2,3000410
C09221-K2,3000411
C13440-K2,3000412
C13440-K2,3000413
C13440-K2,3000414
C11917-K1,3000415
C13440-K2,3000416
C13440-K2,3000417
C13440-K2,3000418
C13440-K2,3000419
C13440-K2,3000420
C13440-K2,3000421
C09363-K2,3000422
C13440-K2,3000423
C13440-K2,3000424
C13440-K2,3000425
C13440-K2,3000426
C13440-K2,3000427
C13440-K2,3000428
C02354-K2,3000429
C05128-K1,3000430
C13440-K2,3000431
C13440-K2,3000432
C13440-K2,3000433
C13440-K2,3000434
C03556-K1,3000435
C13440-K2,3000436
C13440-K2,3000437
C13440-K2,3000438
C13440-K2,3000439
C13440-K2,3000440
C13440-K2,3000441
C11468-K1,3000442
C01521-K2,3000443
C13440-K2,3000444
C01109-K2,3000445
C05128-K1,3000446
C01521-K2,3000447
C13440-K2,3000448
C13440-K2,3000449
C13440-K2,3000450
C13440-K2,3000451
C13440-K2,3000452
C13440-K2,3000453
C13440-K2,3000454
C13440-K2,3000455
C13440-K2,3000456
C05258-K1,3000457
C13440-K2,3000458
C13440-K2,3000459
C13440-K2,3000460
C05258-K1,3000461
C13440-K2,3000462
C13440-K2,3000463
C13440-K2,3000464
C13440-K2,3000465
C13440-K2,3000466
C05128-K1,3000467
C13440-K2,3000468
C13440-K2,3000469
C07936-K2,3000470
C13440-K2,3000471
C05258-K1,3000472
C13440-K2,3000473
C13440-K2,3000474
C13440-K2,3000475
C13440-K2,3000476
C00773-K2,3000477
C05258-K1,3000478
C13440-K2,3000479
C13440-K2,3000480
C01347-K2,3000481
C07936-K2,3000482
C13440-K2,3000483
C13440-K2,3000484
C13440-K2,3000485
C13440-K2,3000486
C02354-K2,3000487
C13440-K2,3000488
C13440-K2,3000489
C13440-K2,3000490
C13440-K2,3000491
C13440-K2,3000492
C13440-K2,3000493
C13440-K2,3000494
C11294-K2,3000495
C11294-K2,3000496
C09711-K1,3000497
C13440-K2,3000498
C13440-K2,3000499
C13440-K2,3000500
C13440-K2,3000501
C13440-K2,3000502
C09165-K2,3000503
C13440-K2,3000504
C13440-K2,3000505
C13440-K2,3000506
C10911-K1,3000507
C13440-K2,3000508
C13440-K2,3000509
C05258-K1,3000510
C04313-K1,3000511
C13440-K2,3000512
C02354-K2,3000513
C02575-K2,3000514
C11743-K2,3000515
C13440-K2,3000516
C13440-K2,3000517
C13440-K2,3000518
C11923-K2,3000519
C13440-K2,3000520
C13440-K2,3000521
C13440-K2,3000522
C02354-K2,3000523
C09286-K2,3000524
C13440-K2,3000525
C13440-K2,3000526
C12426-K1,3000527
C09301-K2,3000528
C02354-K2,3000529
C02575-K2,3000530
C05258-K1,3000531
C13440-K2,3000532
C09301-K2,3000533
C13440-K2,3000534
C04893-K1,3000535
C13440-K2,3000536
C13440-K2,3000537
C13440-K2,3000538
C12311-K2,3000539
C13440-K2,3000540
C13440-K2,3000541
C05128-K1,3000542
C13440-K2,3000543
C13440-K2,3000544
C05128-K1,3000545
C07858-K2,3000546
C13440-K2,3000547
C13440-K2,3000548
C13440-K2,3000549
C03556-K1,3000550
C13440-K2,3000551
C13440-K2,3000552
C04543-K1,3000553
C09301-K2,3000554
C13440-K2,3000555
C13440-K2,3000556
C02902-K2,3000557
C12417-K1,3000558
C07936-K2,3000559
C00129-K2,3000560
C04543-K1,3000561
C01254-K1,3000562
C13440-K2,3000563
C08072-K1,3000564
C13440-K2,3000565
C13440-K2,3000566
C13440-K2,3000567
C13440-K2,3000568
C13440-K2,3000569
C13440-K2,3000570
C13440-K2,3000571
C04383-K1,3000572
C13440-K2,3000573
C13440-K2,3000574
C13440-K2,3000575
C05128-K1,3000576
C02902-K2,3000577
C13440-K2,3000578
C13440-K2,3000579
C04798-K2,3000580
C09666-K2,3000581
C04696-K1,3000582
C03218-K2,3000583
C13440-K2,3000584
C10852-K1,3000585
C08824-K1,3000586
C13440-K2,3000587
C13440-K2,3000588
C13440-K2,3000589
C13440-K2,3000590
C09876-K1,3000591
C13440-K2,3000592
C03556-K1,3000593
C11294-K2,3000594
C13440-K2,3000595
C13440-K2,3000596
C07858-K2,3000597
C05128-K1,3000598
C03218-K2,3000599
C13440-K2,3000600
C02354-K2,3000601
C13440-K2,3000602
C04893-K1,3000603
C03363-K2,3000604
C11709-K2,3000605
C13440-K2,3000606
C05876-K2,3000607
C13440-K2,3000608
C11709-K2,3000609
C07871-K1,3000610
C12894-K1,3000611
C04026-K1,3000612
C07648-K2,3000613
C13440-K2,3000614
C13440-K2,3000615
C13440-K2,3000616
C13440-K2,3000617
C13440-K2,3000618
C13440-K2,3000619
C01974-K1,3000620
C13440-K2,3000621
C07648-K2,3000622
C02354-K2,3000623
C04693-K1,3000624
C12094-K2,3000625
C12961-K2,3000626
C13440-K2,3000627
C10364-K1,3000628
C07212-K2,3000629
C13440-K2,3000630
C00750-K2,3000631
C00750-K2,3000632
C13440-K2,3000633
C13440-K2,3000634
C13440-K2,3000635
C13440-K2,3000636
C13440-K2,3000637
C09981-K2,3000638
C11000-K2,3000639
C13440-K2,3000640
C13440-K2,3000641
C13440-K2,3000642
C13440-K2,3000643
C02902-K2,3000644
C05704-K2,3000645
C13440-K2,3000646
C08181-K1,3000647
C12833-K1,3000648
C12833-K1,3000649
C05782-K1,3000650
C13440-K2,3000651
C03218-K2,3000652
C10661-K1,3000653
C07456-K1,3000654
C13440-K2,3000655
C13440-K2,3000656
C13440-K2,3000657
C08072-K1,3000658
C02354-K2,3000659
C12311-K2,3000660
C13440-K2,3000661
C13440-K2,3000662
C08913-K2,3000663
C02354-K2,3000664
C02902-K2,3000665
C13440-K2,3000666
C02354-K2,3000667
C13440-K2,3000668
C03218-K2,3000669
C02354-K2,3000670
C13440-K2,3000671
C00331-K1,3000672
C11709-K2,3000673
C09159-K1,3000674
C13440-K2,3000675
C12084-K2,3000676
C13440-K2,3000677
C00129-K2,3000678
C13440-K2,3000679
C13440-K2,3000680
C00750-K2,3000681
C13440-K2,3000682
C09666-K2,3000683
C13440-K2,3000684
C13440-K2,3000685
C13440-K2,3000686
C13440-K2,3000687
C03218-K2,3000688
C07523-K1,3000689
C01953-K2,3000690
C12942-K2,3000691
C12572-K1,3000692
C05704-K2,3000693
C03218-K2,3000694
C13440-K2,3000695
C13440-K2,3000696
C13440-K2,3000697
C05258-K1,3000698
C13440-K2,3000699
C13440-K2,3000700
C13440-K2,3000701
C11917-K1,3000702
C13440-K2,3000703
C02354-K2,3000704
C04108-K2,3000705
C02354-K2,3000706
C08945-K2,3000707
C03218-K2,3000708
C11709-K2,3000709
C13440-K2,3000710
C13440-K2,3000711
C05258-K1,3000712
C02354-K2,3000713
C03218-K2,3000714
C11522-K2,3000715
C13440-K2,3000716
C13440-K2,3000717
C11061-K1,3000718
C13440-K2,3000719
C11625-K1,3000720
C13440-K2,3000721
C05704-K2,3000722
C13440-K2,3000723
C13440-K2,3000724
C13440-K2,3000725
C03218-K2,3000726
C00750-K2,3000727
C09981-K2,3000728
C09276-K1,3000729
C13440-K2,3000730
C13440-K2,3000731
C13440-K2,3000732
C11522-K2,3000733
C10852-K1,3000734
C13440-K2,3000735
C11923-K2,3000736
C03171-K1,3000737
C10800-K1,3000738
C13440-K2,3000739
C05258-K1,3000740
C01333-K2,3000741
C02354-K2,3000742
C03575-K2,3000743
C10687-K1,3000744
C07858-K2,3000745
C02817-K1,3000746
C00094-K3,3000747
C03714-K1,3000748
C09301-K2,3000749
C09301-K2,3000750
C07671-K2,3000751
C13440-K2,3000752
C03556-K1,3000753
C07212-K2,3000754
C08614-K1,3000755
C07858-K2,3000756
C13440-K2,3000757
C07858-K2,3000758
C07867-K2,3000759
C05876-K2,3000760
C12682-K1,3000761
C07858-K2,3000762
C12084-K2,3000763
C13440-K2,3000764
C12489-K1,3000765
C11919-K2,3000766
C13440-K2,3000767
C00259-K1,3000768
C05704-K2,3000769
C07671-K2,3000770
C13440-K2,3000771
C13440-K2,3000772
C11381-K2,3000773
C13440-K2,3000774
C07867-K2,3000775
C02250-K2,3000776
C01308-K1,3000777
C00750-K2,3000778
C00823-K1,3000779
C12489-K1,3000780
C02231-K1,3000781
C13440-K2,3000782
C13001-K1,3000783
C00424-K1,3000784
C03218-K2,3000785
C05782-K1,3000786
C07648-K2,3000787
C02902-K2,3000788
C11625-K1,3000789
C13440-K2,3000790
C12489-K1,3000791
C09342-K1,3000792
C03363-K2,3000793
C01909-K2,3000794
C11000-K2,3000795
C08945-K2,3000796
C13033-K1,3000797
C07671-K2,3000798
C12738-K1,3000799
C02480-K1,3000800
C13440-K2,3000801
C03415-K1,3000802
C08269-K1,3000803
C13440-K2,3000804
C11923-K2,3000805
C12030-K1,3000806
C12345-K1,3000807
C11082-K1,3000808
C00094-K3,3000809
C04865-K1,3000810
C06147-K2,3000811
C00750-K2,3000812
C05704-K2,3000813
C02354-K2,3000814
C11923-K2,3000815
C03320-K1,3000816
C13440-K2,3000817
C13440-K2,3000818
C13440-K2,3000819
C02250-K2,3000820
C11000-K2,3000821
C13440-K2,3000822
C08899-K1,3000823
C09301-K2,3000824
C11082-K1,3000825
C01909-K2,3000826
C00750-K2,3000827
C02309-K2,3000828
C13440-K2,3000829
C01954-K1,3000830
C13440-K2,3000831
C04383-K1,3000832
C11000-K2,3000833
C11000-K2,3000834
C00614-K2,3000835
C03556-K1,3000836
C13440-K2,3000837
C13001-K1,3000838
C02380-K1,3000839
C09301-K2,3000840
C13440-K2,3000841
C09342-K1,3000842
C00094-K3,3000843
C13440-K2,3000844
C11539-K2,3000845
C10193-K2,3000846
C13440-K2,3000847
C11929-K2,3000848
C12829-K1,3000849
C13440-K2,3000850
C03405-K2,3000851
C13440-K2,3000852
C10906-K1,3000853
C09998-K1,3000854
C02354-K2,3000855
C09286-K2,3000856
C07648-K2,3000857
C05276-K2,3000858
C07867-K2,3000859
C13440-K2,3000860
C02250-K2,3000861
C05704-K2,3000862
C13440-K2,3000863
C13440-K2,3000864
C01374-K1,3000865
C06253-K1,3000866
C13440-K2,3000867
C13440-K2,3000868
C01333-K2,3000869
C04762-K1,3000870
C07919-K2,3000871
C10715-K2,3000872
C02250-K2,3000873
C12598-K2,3000874
C12942-K2,3000875
C03218-K2,3000876
C13440-K2,3000877
C13440-K2,3000878
C13440-K2,3000879
C11000-K2,3000880
C13440-K2,3000881
C04383-K1,3000882
C13440-K2,3000883
C13440-K2,3000884
C03218-K2,3000885
C03474-K1,3000886
C13440-K2,3000887
C13440-K2,3000888
C06888-K1,3000889
C05128-K1,3000890
C10852-K1,3000891
C13440-K2,3000892
C11309-K1,3000893
C06890-K1,3000894
C05704-K2,3000895
C13440-K2,3000896
C13440-K2,3000897
C04108-K2,3000898
C05595-K2,3000899
C00051-K1,3000900
C11227-K2,3000901
C02923-K1,3000902
C00750-K2,3000903
C09165-K2,3000904
C11082-K1,3000905
C13440-K2,3000906
C01109-K2,3000907
C13440-K2,3000908
C12517-K2,3000909
C13440-K2,3000910
C12676-K1,3000911
C12961-K2,3000912
C13440-K2,3000913
C01909-K2,3000914
C13440-K2,3000915
C04108-K2,3000916
C08269-K1,3000917
C13440-K2,3000918
C08598-K1,3000919
C11929-K2,3000920
C02902-K2,3000921
C04034-K2,3000922
C13440-K2,3000923
C13440-K2,3000924
C05689-K2,3000925
C13440-K2,3000926
C13440-K2,3000927
C12517-K2,3000928
C01252-K1,3000929
C11227-K2,3000930
C07212-K2,3000931
C11923-K2,3000932
C13440-K2,3000933
C05443-K1,3000934
C13440-K2,3000935
C05128-K1,3000936
C07387-K1,3000937
C06481-K1,3000938
C13440-K2,3000939
C09584-K1,3000940
C13440-K2,3000941
C05704-K2,3000942
C02354-K2,3000943
C05704-K2,3000944
C11923-K2,3000945
C04478-K1,3000946
C03218-K2,3000947
C07671-K2,3000948
C13440-K2,3000949
C05704-K2,3000950
C13440-K2,3000951
C13440-K2,3000952
C01828-K2,3000953
C03218-K2,3000954
C13440-K2,3000955
C03474-K1,3000956
C08945-K2,3000957
C10906-K1,3000958
C04762-K1,3000959
C11923-K2,3000960
C05128-K1,3000961
C02354-K2,3000962
C03218-K2,3000963
C03218-K2,3000964
C11381-K2,3000965
C04834-K1,3000966
C09165-K2,3000967
C07212-K2,3000968
C03218-K2,3000969
C08635-K1,3000970
C13440-K2,3000971
C09584-K1,3000972
C03488-K2,3000973
C13440-K2,3000974
C11539-K2,3000975
C08037-K1,3000976
C13440-K2,3000977
C13440-K2,3000978
C02309-K2,3000979
C13440-K2,3000980
C11005-K1,3000981
C03047-K2,3000982
C03218-K2,3000983
C03218-K2,3000984
C13440-K2,3000985
C02764-K1,3000986
C00750-K2,3000987
C13440-K2,3000988
C13259-K1,3000989
C05704-K2,3000990
C12598-K2,3000991
C12094-K2,3000992
C13440-K2,3000993
C11059-K1,3000994
C13440-K2,3000995
C09666-K2,3000996
C01333-K2,3000997
C11539-K2,3000998
C03218-K2,3000999
C02354-K2,3001000
C13440-K2,3001001
C09666-K2,3001002
C13440-K2,3001003
C10585-K2,3001004
C03218-K2,3001005
C02480-K1,3001006
C13440-K2,3001007
C07867-K2,3001008
C00773-K2,3001009
C00094-K3,3001010
C05115-K2,3001011
C11709-K2,3001012
C03218-K2,3001013
C13440-K2,3001014
C13516-K1,3001015
C13440-K2,3001016
C12094-K2,3001017
C03667-K1,3001018
C13440-K2,3001019
C04709-K2,3001020
C00750-K2,3001021
C10755-K1,3001022
C07867-K2,3001023
C11702-K1,3001024
C07858-K2,3001025
C06598-K1,3001026
C11923-K2,3001027
C04105-K2,3001028
C09584-K1,3001029
C05704-K2,3001030
C02309-K2,3001031
C07867-K2,3001032
C01010-K1,3001033
C13440-K2,3001034
C13440-K2,3001035
C13440-K2,3001036
C09947-K1,3001037
C10364-K1,3001038
C12572-K2,3001039
C13440-K2,3001040
C09657-K2,3001041
C01010-K1,3001042
C13440-K2,3001043
C13440-K2,3001044
C09584-K1,3001045
C12961-K2,3001046
C11522-K2,3001047
C07858-K2,3001048
C07212-K2,3001049
C07867-K2,3001050
C03218-K2,3001051
C13440-K2,3001052
C02354-K2,3001053
C03218-K2,3001054
C13440-K2,3001055
C13354-K2,3001056
C06147-K2,3001057
C05704-K2,3001058
C00750-K2,3001059
C13440-K2,3001060
C13440-K2,3001061
C07215-K1,3001062
C06348-K1,3001063
C01010-K1,3001064
C01110-K1,3001065
C07867-K2,3001066
C13440-K2,3001067
C03218-K2,3001068
C07867-K2,3001069
C13440-K2,3001070
C01954-K1,3001071
C02902-K2,3001072
C05560-K2,3001073
C13440-K2,3001074
C11000-K2,3001075
C13440-K2,3001076
C13440-K2,3001077
C11309-K1,3001078
C13440-K2,3001079
C01110-K1,3001080
C01061-K1,3001081
C00094-K3,3001082
C12961-K2,3001083
C13440-K2,3001084
C13440-K2,3001085
C11919-K2,3001086
C09820-K2,3001087
C13440-K2,3001088
C02354-K2,3001089
C03218-K2,3001090
C05171-K1,3001091
C12942-K2,3001092
C07648-K2,3001093
C13440-K2,3001094
C12961-K2,3001095
C13440-K2,3001096
C13440-K2,3001097
C02354-K2,3001098
C03218-K2,3001099
C09420-K2,3001100
C11919-K2,3001101
C11923-K2,3001102
C13440-K2,3001103
C13440-K2,3001104
C11583-K1,3001105
C07867-K2,3001106
C02902-K2,3001107
C12593-K1,3001108
C13440-K2,3001109
C11906-K1,3001110
C02354-K2,3001111
C13440-K2,3001112
C11709-K2,3001113
C04383-K1,3001114
C07936-K2,3001115
C09363-K2,3001116
C01109-K2,3001117
C05128-K1,3001118
C07212-K2,3001119
C13440-K2,3001120
C12652-K1,3001121
C03575-K2,3001122
C11309-K1,3001123
C00059-K2,3001124
C09301-K2,3001125
C13440-K2,3001126
C04383-K1,3001127
C01286-K1,3001128
C13440-K2,3001129
C13440-K2,3001130
C11852-K1,3001131
C12981-K1,3001132
C01333-K2,3001133
C13440-K2,3001134
C01048-K2,3001135
C07335-K1,3001136
C13440-K2,3001137
C13440-K2,3001138
C13440-K2,3001139
C04062-K1,3001140
C13440-K2,3001141
C13440-K2,3001142
C04893-K1,3001143
C01010-K1,3001144
C13440-K2,3001145
C12517-K2,3001146
C05622-K1,3001147
C11176-K1,3001148
C13440-K2,3001149
C13440-K2,3001150
C08945-K2,3001151
C00089-K1,3001152
C08945-K2,3001153
C13440-K2,3001154
C03218-K2,3001155
C05448-K1,3001156
C00089-K1,3001157
C13440-K2,3001158
C11000-K2,3001159
C06327-K1,3001160
C04525-K1,3001161
C13440-K2,3001162
C13440-K2,3001163
C13440-K2,3001164
C09363-K2,3001165
C11919-K2,3001166
C03218-K2,3001167
C10320-K1,3001168
C13440-K2,3001169
C13440-K2,3001170
C13440-K2,3001171
C02354-K2,3001172
C11768-K1,3001173
C02566-K1,3001174
C13440-K2,3001175
C02354-K2,3001176
C09486-K1,3001177
C13440-K2,3001178
C13440-K2,3001179
C11709-K2,3001180
C10900-K1,3001181
C03363-K2,3001182
C11701-K1,3001183
C02646-K1,3001184
C04764-K1,3001185
C11709-K2,3001186
C02930-K1,3001187
C13440-K2,3001188
C13440-K2,3001189
C13440-K2,3001190
C01954-K1,3001191
C13440-K2,3001192
C00823-K1,3001193
C11709-K2,3001194
C08945-K2,3001195
C11468-K2,3001196
C11000-K2,3001197
C13440-K2,3001198
C13440-K2,3001199
C11216-K1,3001200
C09301-K2,3001201
C11000-K2,3001202
C05961-K1,3001203
C07858-K2,3001204
C05704-K2,3001205
C07149-K2,3001206
C13440-K2,3001207
C13440-K2,3001208
C09354-K1,3001209
C12572-K2,3001210
C05876-K2,3001211
C13440-K2,3001212
C01248-K1,3001213
C12517-K2,3001214
C10867-K1,3001215
C03651-K2,3001216
C01010-K1,3001217
C13440-K2,3001218
C03722-K1,3001219
C13440-K2,3001220
C12598-K2,3001221
C07741-K2,3001222
C08945-K2,3001223
C01109-K2,3001224
C04034-K2,3001225
C04701-K1,3001226
C13440-K2,3001227
C07997-K1,3001228
C09165-K2,3001229
C11227-K2,3001230
C02342-K1,3001231
C02354-K2,3001232
C01109-K2,3001233
C09301-K2,3001234
C01942-K1,3001235
C13440-K2,3001236
C13440-K2,3001237
C11000-K2,3001238
C13440-K2,3001239
C07648-K2,3001240
C13440-K2,3001241
C07936-K2,3001242
C03218-K2,3001243
C09165-K2,3001244
C13440-K2,3001245
C13440-K2,3001246
C13440-K2,3001247
C11000-K2,3001248
C10006-K1,3001249
C03556-K1,3001250
C13440-K2,3001251
C13440-K2,3001252
C03204-K1,3001253
C13440-K2,3001254
C08695-K1,3001255
C13440-K2,3001256
C08775-K1,3001257
C13440-K2,3001258
C13440-K2,3001259
C04582-K1,3001260
C13440-K2,3001261
C09191-K1,3001262
C05276-K2,3001263
C11919-K2,3001264
C02354-K2,3001265
C12311-K2,3001266
C01333-K2,3001267
C11381-K2,3001268
C05782-K1,3001269
C13440-K2,3001270
