device_id,canonical_profile_str,device_info,os,browser,screen,device_type
DEV_8321bb5a238d,SAMSUNG SM-G892A Build/NRD90M | Android 7.0 | samsung browser 6.2 | 2220x1080,SAMSUNG SM-G892A Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,mobile
DEV_d6644f9c564e,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2048x1536,iOS Device,iOS 11.1.2,mobile safari 11.0,2048x1536,mobile
DEV_b376862d5f4c,Windows | Windows 10 | chrome 62.0 | 1920x1080,Windows,Windows 10,chrome 62.0,1920x1080,desktop
DEV_1ef04eb037a3,MacOS | Mac OS X 10_9_5 | chrome | 1440x900,MacOS,Mac OS X 10_9_5,chrome,1440x900,desktop
DEV_f284e888e004,Unknown | Unknown | safari generic | Unknown,,,safari generic,,desktop
DEV_620dfcc1b01e,Unknown | Unknown | chrome 62.0 for ios | Unknown,,,chrome 62.0 for ios,,mobile
DEV_f62d256800d2,Lenovo PB1-750M Build/S100 | Unknown | chrome 62.0 for android | Unknown,Lenovo PB1-750M Build/S100,,chrome 62.0 for android,,mobile
DEV_e5d9697d237e,MacOS | Mac OS X 10_13_1 | safari generic | 1600x900,MacOS,Mac OS X 10_13_1,safari generic,1600x900,desktop
DEV_a5f3ad677d08,Windows | Windows 7 | chrome 62.0 | 1366x768,Windows,Windows 7,chrome 62.0,1366x768,desktop
DEV_18835ec56c72,iOS Device | iOS 11.1.2 | mobile safari generic | 2208x1242,iOS Device,iOS 11.1.2,mobile safari generic,2208x1242,mobile
DEV_963ffb72081a,Windows | Windows 8.1 | chrome 62.0 | 1366x768,Windows,Windows 8.1,chrome 62.0,1366x768,desktop
DEV_f5a1958ba80f,LT22i Build/6.2.A.1.100 | Unknown | chrome 62.0 for android | Unknown,LT22i Build/6.2.A.1.100,,chrome 62.0 for android,,mobile
DEV_4fd3e6072036,MacOS | Mac OS X 10_11_6 | safari generic | 1440x900,MacOS,Mac OS X 10_11_6,safari generic,1440x900,desktop
DEV_8b53af2cdfb3,rv:52.0 | Windows 10 | firefox | 1440x900,rv:52.0,Windows 10,firefox,1440x900,desktop
DEV_3efc3609980b,MacOS | Mac OS X 10_13_1 | safari generic | 1366x768,MacOS,Mac OS X 10_13_1,safari generic,1366x768,desktop
DEV_c7b6b42a9449,SM-G950U Build/NRD90M | Unknown | chrome 60.0 for android | Unknown,SM-G950U Build/NRD90M,,chrome 60.0 for android,,mobile
DEV_034009e59b1d,LG-H872 Build/NRD90U | Android 7.0 | chrome 62.0 for android | 2672x1440,LG-H872 Build/NRD90U,Android 7.0,chrome 62.0 for android,2672x1440,mobile
DEV_cf81ac6689bc,MacOS | Mac | safari generic | 1440x900,MacOS,Mac,safari generic,1440x900,desktop
DEV_4b91992ee30a,MacOS | Mac OS X 10_9_5 | safari generic | 1280x800,MacOS,Mac OS X 10_9_5,safari generic,1280x800,desktop
DEV_3e121c1c609f,LG-K500 Build/MMB29M | Unknown | chrome 62.0 for android | Unknown,LG-K500 Build/MMB29M,,chrome 62.0 for android,,mobile
DEV_4154b386eb05,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 2208x1242,iOS Device,iOS 10.3.3,mobile safari 10.0,2208x1242,mobile
DEV_616bd1cb9da4,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 2048x1536,iOS Device,iOS 10.3.3,mobile safari 10.0,2048x1536,mobile
DEV_d945bbf9432c,Windows | Windows 10 | edge 14.0 | Unknown,Windows,Windows 10,edge 14.0,,desktop
DEV_4bb2c7f622a5,Unknown | Unknown | mobile safari generic | Unknown,,,mobile safari generic,,mobile
DEV_dfe1cff0b744,SM-P550 Build/MMB29M | Unknown | chrome 62.0 for android | Unknown,SM-P550 Build/MMB29M,,chrome 62.0 for android,,mobile
DEV_d6bb29001339,Windows | Windows 10 | edge 15.0 | 1920x1080,Windows,Windows 10,edge 15.0,1920x1080,desktop
DEV_569043cfe569,Windows | Windows 10 | edge 14.0 | 1280x1024,Windows,Windows 10,edge 14.0,1280x1024,desktop
DEV_36b579e27eb7,SM-J700M Build/MMB29K | Unknown | chrome 61.0 for android | Unknown,SM-J700M Build/MMB29K,,chrome 61.0 for android,,mobile
DEV_40a6204f97ee,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1920x1080,Trident/7.0,Windows 7,ie 11.0 for desktop,1920x1080,desktop
DEV_9410b80f3c11,rv:57.0 | Mac OS X 10.12 | firefox 57.0 | 1440x900,rv:57.0,Mac OS X 10.12,firefox 57.0,1440x900,desktop
DEV_8cccc8f01f55,SM-G950U Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2220x1080,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,mobile
DEV_4196ef1afe50,SAMSUNG SM-G930T Build/NRD90M | Android 7.0 | samsung browser 6.2 | 1920x1080,SAMSUNG SM-G930T Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,mobile
DEV_cae244d0272b,iOS Device | iOS 11.1.2 | chrome 62.0 for ios | 2048x1536,iOS Device,iOS 11.1.2,chrome 62.0 for ios,2048x1536,mobile
DEV_0700eae4c17f,MacOS | Mac OS X 10_10_5 | safari generic | 1280x800,MacOS,Mac OS X 10_10_5,safari generic,1280x800,desktop
DEV_77790a43ef03,Blade V6 Plus Build/MRA58K | Unknown | chrome 62.0 for android | Unknown,Blade V6 Plus Build/MRA58K,,chrome 62.0 for android,,mobile
DEV_277739a79261,MacOS | Mac OS X 10_11_5 | safari generic | 1280x800,MacOS,Mac OS X 10_11_5,safari generic,1280x800,desktop
DEV_f085aeefe63c,Trident/7.0 | Windows 10 | ie 11.0 for tablet | 1366x768,Trident/7.0,Windows 10,ie 11.0 for tablet,1366x768,desktop
DEV_8e5c357bbc82,BLL-L23 Build/HUAWEIBLL-L23 | Unknown | chrome 62.0 for android | Unknown,BLL-L23 Build/HUAWEIBLL-L23,,chrome 62.0 for android,,mobile
DEV_529d19d8d0af,iOS Device | iOS 9.3.5 | mobile safari 9.0 | 2048x1536,iOS Device,iOS 9.3.5,mobile safari 9.0,2048x1536,mobile
DEV_07f58b95e22f,KYOCERA-C6742A Build/LMY47V | Android 5.1.1 | chrome generic | 960x540,KYOCERA-C6742A Build/LMY47V,Android 5.1.1,chrome generic,960x540,mobile
DEV_76c92f78f5e6,MacOS | Mac OS X 10_10_5 | safari generic | 1440x900,MacOS,Mac OS X 10_10_5,safari generic,1440x900,desktop
DEV_e6be5836b578,Windows | Windows 10 | firefox 57.0 | 1366x768,Windows,Windows 10,firefox 57.0,1366x768,desktop
DEV_6c0c02512db5,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2732x2048,iOS Device,iOS 11.1.2,mobile safari 11.0,2732x2048,mobile
DEV_569bcc721950,F3113 Build/33.2.A.4.70 | Unknown | chrome 62.0 for android | Unknown,F3113 Build/33.2.A.4.70,,chrome 62.0 for android,,mobile
DEV_5bfcc80ef31a,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1600x900,Trident/7.0,Windows 7,ie 11.0 for desktop,1600x900,desktop
DEV_77b82f840599,Unknown | Unknown | mobile safari 10.0 | Unknown,,,mobile safari 10.0,,mobile
DEV_f3023e665c1b,iOS Device | iOS 11.1.2 | mobile safari generic | 2436x1125,iOS Device,iOS 11.1.2,mobile safari generic,2436x1125,mobile
DEV_d094973e8d8c,iOS Device | iOS 11.1.2 | mobile safari generic | 1334x750,iOS Device,iOS 11.1.2,mobile safari generic,1334x750,mobile
DEV_dd0cb2ae1666,D5306 Build/19.4.A.0.182 | Unknown | chrome 62.0 for android | Unknown,D5306 Build/19.4.A.0.182,,chrome 62.0 for android,,mobile
DEV_059ecd03b28d,Windows | Windows 7 | chrome 62.0 | 1920x1080,Windows,Windows 7,chrome 62.0,1920x1080,desktop
DEV_33154f25dec3,Windows | Windows 10 | edge 15.0 | 1366x768,Windows,Windows 10,edge 15.0,1366x768,desktop
DEV_d527a6ef1a7e,Windows | Windows 10 | chrome 62.0 | 1920x1200,Windows,Windows 10,chrome 62.0,1920x1200,desktop
DEV_3dd264a81900,Trident/7.0 | Unknown | ie 11.0 for desktop | Unknown,Trident/7.0,,ie 11.0 for desktop,,desktop
DEV_505d047c758f,Unknown | Unknown | chrome 61.0 | Unknown,,,chrome 61.0,,desktop
DEV_cd766f630e90,M4 SS4457 Build/MRA58K | Unknown | chrome 62.0 for android | Unknown,M4 SS4457 Build/MRA58K,,chrome 62.0 for android,,mobile
DEV_eb569b47f00e,SM-G955U Build/NRD90M | Android 7.0 | chrome 62.0 for android | Unknown,SM-G955U Build/NRD90M,Android 7.0,chrome 62.0 for android,,mobile
DEV_8cd453b0adc0,SM-G610M Build/MMB29K | Unknown | other | Unknown,SM-G610M Build/MMB29K,,other,,mobile
DEV_f11459dbac0f,Windows | Windows 7 | chrome 62.0 | Unknown,Windows,Windows 7,chrome 62.0,,desktop
DEV_e3d33ed16f66,SAMSUNG SM-G935F Build/NRD90M | Unknown | samsung browser 6.2 | Unknown,SAMSUNG SM-G935F Build/NRD90M,,samsung browser 6.2,,mobile
DEV_8f694a54a6cf,Windows | Unknown | chrome 61.0 | Unknown,Windows,,chrome 61.0,,desktop
DEV_356258a3017d,Unknown | Unknown | firefox 57.0 | Unknown,,,firefox 57.0,,desktop
DEV_e70e474b0d38,MacOS | Mac OS X 10_13_1 | chrome 62.0 | 2560x1600,MacOS,Mac OS X 10_13_1,chrome 62.0,2560x1600,desktop
DEV_9140ca8cc8cf,SM-G610M Build/MMB29K | Unknown | chrome 59.0 for android | Unknown,SM-G610M Build/MMB29K,,chrome 59.0 for android,,mobile
DEV_089faefba547,XT1635-01 | Android 7.1.1 | chrome 62.0 for android | 1920x1080,XT1635-01,Android 7.1.1,chrome 62.0 for android,1920x1080,mobile
DEV_bd8b9f5260ff,MacOS | Mac OS X 10_13_1 | safari generic | 2048x1152,MacOS,Mac OS X 10_13_1,safari generic,2048x1152,desktop
DEV_e35759e69cd0,rv:56.0 | Unknown | firefox 56.0 | Unknown,rv:56.0,,firefox 56.0,,desktop
DEV_f3bb5ee5f1df,SM-G950U Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2960x1440,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2960x1440,mobile
DEV_b986316530ed,MacOS | Mac OS X 10_10_5 | safari generic | 2560x1600,MacOS,Mac OS X 10_10_5,safari generic,2560x1600,desktop
DEV_601db3d1f2d6,VS500 | Android 7.0 | android webview 4.0 | 1280x720,VS500,Android 7.0,android webview 4.0,1280x720,mobile
DEV_fba871d46448,CAM-L03 Build/HUAWEICAM-L03 | Unknown | chrome 62.0 for android | Unknown,CAM-L03 Build/HUAWEICAM-L03,,chrome 62.0 for android,,mobile
DEV_f3432fcf7962,RCT6303W87M7 Build/MRA58K | Android 6.0 | chrome 62.0 for android | 1280x800,RCT6303W87M7 Build/MRA58K,Android 6.0,chrome 62.0 for android,1280x800,mobile
DEV_8898ed6a5c16,M4 SS4451 Build/LMY47D | Unknown | chrome | Unknown,M4 SS4451 Build/LMY47D,,chrome,,mobile
DEV_b69ffd25623b,KFFOWI Build/LVY48F | Android 5.1.1 | chrome generic | 1024x600,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic,1024x600,mobile
DEV_54ccef5368e2,iOS Device | iOS 10.3.1 | mobile safari 10.0 | 2732x2048,iOS Device,iOS 10.3.1,mobile safari 10.0,2732x2048,mobile
DEV_55e80c171bd6,rv:56.0 | Mac OS X 10.9 | firefox 56.0 | 1440x900,rv:56.0,Mac OS X 10.9,firefox 56.0,1440x900,desktop
DEV_7af9cafca5fb,Moto E (4) Build/NMA26.42-19 | Unknown | chrome generic | Unknown,Moto E (4) Build/NMA26.42-19,,chrome generic,,desktop
DEV_ba0ee226cc41,SAMSUNG | Unknown | samsung browser 6.2 | Unknown,SAMSUNG,,samsung browser 6.2,,mobile
DEV_73671e8a420a,E2306 Build/26.3.A.1.33 | Unknown | chrome 62.0 for android | Unknown,E2306 Build/26.3.A.1.33,,chrome 62.0 for android,,mobile
DEV_bf99f2c7176d,Unknown | Unknown | mobile safari 9.0 | Unknown,,,mobile safari 9.0,,mobile
DEV_671ceba026ac,Windows | Unknown | chrome 55.0 | Unknown,Windows,,chrome 55.0,,desktop
DEV_7d388457ee83,MacOS | Mac OS X 10_11_6 | safari generic | 2880x1800,MacOS,Mac OS X 10_11_6,safari generic,2880x1800,desktop
DEV_b1d0fca73277,Ilium L910 Build/MRA58K | Unknown | chrome 62.0 for android | Unknown,Ilium L910 Build/MRA58K,,chrome 62.0 for android,,mobile
DEV_68960207911f,Windows | Windows 7 | chrome 61.0 | 1920x1080,Windows,Windows 7,chrome 61.0,1920x1080,desktop
DEV_495bd2dd4e19,SM-J700M Build/MMB29K | Unknown | chrome 62.0 for android | Unknown,SM-J700M Build/MMB29K,,chrome 62.0 for android,,mobile
DEV_ba04ce6920c3,GT-I9300 | Unknown | chrome 62.0 for android | Unknown,GT-I9300,,chrome 62.0 for android,,mobile
DEV_a65fe4472f00,iOS Device | iOS 11.1.2 | mobile safari generic | 2001x1125,iOS Device,iOS 11.1.2,mobile safari generic,2001x1125,mobile
DEV_1c08ad5fb2b2,LG-H420 Build/LRX21Y | Unknown | other | Unknown,LG-H420 Build/LRX21Y,,other,,mobile
DEV_10896bce424d,Windows | Windows 8.1 | firefox 57.0 | 1024x768,Windows,Windows 8.1,firefox 57.0,1024x768,desktop
DEV_b85a152bbf53,Unknown | Unknown | opera 49.0 | Unknown,,,opera 49.0,,desktop
DEV_31e3c382bab5,Windows NT 6.2 | Unknown | ie | Unknown,Windows NT 6.2,,ie,,desktop
DEV_32f86efdad2e,XT1032 Build/LPBS23.13-56-2 | Unknown | chrome 55.0 for android | Unknown,XT1032 Build/LPBS23.13-56-2,,chrome 55.0 for android,,mobile
DEV_834592ca3ece,GT-I9060M Build/KTU84P | Unknown | chrome 62.0 for android | Unknown,GT-I9060M Build/KTU84P,,chrome 62.0 for android,,mobile
DEV_5b47f1df6b3f,Windows | Unknown | edge 15.0 | Unknown,Windows,,edge 15.0,,desktop
DEV_184e061a190f,rv:38.0 | Unknown | firefox | Unknown,rv:38.0,,firefox,,desktop
DEV_6da02c7a815d,Moto G (4) Build/NPJS25.93-14-10 | Unknown | chrome generic | Unknown,Moto G (4) Build/NPJS25.93-14-10,,chrome generic,,desktop
DEV_e0e584235f3e,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 1136x640,iOS Device,iOS 11.0.3,mobile safari 11.0,1136x640,mobile
DEV_73a8e3d96462,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1136x640,iOS Device,iOS 10.3.3,mobile safari 10.0,1136x640,mobile
DEV_fcd1e20c6e77,Windows | Windows 7 | chrome 62.0 | 1280x1024,Windows,Windows 7,chrome 62.0,1280x1024,desktop
DEV_ae1b1b75a15c,SM-G530T | Android 5.1.1 | chrome 62.0 for android | 960x540,SM-G530T,Android 5.1.1,chrome 62.0 for android,960x540,mobile
DEV_21a99cbbf885,LGMP260 Build/NRD90U | Android 7.0 | chrome 61.0 for android | 1280x720,LGMP260 Build/NRD90U,Android 7.0,chrome 61.0 for android,1280x720,mobile
DEV_02043139f22e,SM-E500M Build/KTU84P | Unknown | chrome 62.0 for android | Unknown,SM-E500M Build/KTU84P,,chrome 62.0 for android,,mobile
DEV_3c6d22c8a6e2,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2436x1125,iOS Device,iOS 11.1.2,mobile safari 11.0,2436x1125,mobile
DEV_31765608bac0,SAMSUNG SM-G950U Build/NRD90M | Android 7.0 | samsung browser 6.2 | 2220x1080,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,mobile
DEV_c5f2963c1bd9,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1280x1024,Trident/7.0,Windows 7,ie 11.0 for desktop,1280x1024,desktop
DEV_8954a4ff02cb,iOS Device | iOS 11.1.1 | mobile safari 11.0 | 2208x1242,iOS Device,iOS 11.1.1,mobile safari 11.0,2208x1242,mobile
DEV_b295679ae7f9,Windows | Windows 10 | chrome 62.0 | Unknown,Windows,Windows 10,chrome 62.0,,desktop
DEV_19fa9eb58d86,rv:11.0 | Windows 7 | ie 11.0 for desktop | 1600x900,rv:11.0,Windows 7,ie 11.0 for desktop,1600x900,desktop
DEV_fe1434d7ec4c,MacOS | Mac OS X 10_12_6 | chrome 61.0 | 1440x900,MacOS,Mac OS X 10_12_6,chrome 61.0,1440x900,desktop
DEV_9f752f04197b,Windows | Windows 7 | chrome 62.0 | 1920x1200,Windows,Windows 7,chrome 62.0,1920x1200,desktop
DEV_e364f13d9cdc,iOS Device | iOS 11.1.1 | mobile safari 11.0 | 1334x750,iOS Device,iOS 11.1.1,mobile safari 11.0,1334x750,mobile
DEV_9223c431f194,Unknown | Android | chrome 61.0 | 855x480,,Android,chrome 61.0,855x480,mobile
DEV_efc3184cf12b,Trident/7.0 | Windows 7 | ie 11.0 for desktop | Unknown,Trident/7.0,Windows 7,ie 11.0 for desktop,,desktop
DEV_9a7b474ee414,Windows | Windows 7 | chrome 62.0 | 1600x900,Windows,Windows 7,chrome 62.0,1600x900,desktop
DEV_b1ed6dc1ee49,MacOS | Mac OS X 10_10_5 | chrome 62.0 | 1920x1080,MacOS,Mac OS X 10_10_5,chrome 62.0,1920x1080,desktop
DEV_f86040549779,rv:57.0 | Mac OS X 10.9 | firefox 57.0 | 1440x900,rv:57.0,Mac OS X 10.9,firefox 57.0,1440x900,desktop
DEV_966d9dd92eec,MacOS | Mac OS X 10_12_6 | safari generic | 2560x1600,MacOS,Mac OS X 10_12_6,safari generic,2560x1600,desktop
DEV_7fc069cefb93,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 1920x1080,MacOS,Mac OS X 10_12_6,chrome 62.0,1920x1080,desktop
DEV_d5cd7a7e212c,SM-G920I Build/NRD90M | Unknown | chrome 62.0 for android | Unknown,SM-G920I Build/NRD90M,,chrome 62.0 for android,,mobile
DEV_6534e3918927,Windows | Windows Vista | chrome 49.0 | 1366x768,Windows,Windows Vista,chrome 49.0,1366x768,desktop
DEV_038b86389a5b,Windows | Windows 8.1 | chrome 62.0 | 1600x900,Windows,Windows 8.1,chrome 62.0,1600x900,desktop
DEV_fd2a58d804c9,MacOS | Mac OS X 10_13_1 | safari generic | 4096x2304,MacOS,Mac OS X 10_13_1,safari generic,4096x2304,desktop
DEV_3c134eb97eed,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1366x768,Trident/7.0,Windows 7,ie 11.0 for desktop,1366x768,desktop
DEV_afa4308afab9,Windows | Windows 7 | chrome 62.0 | 1024x768,Windows,Windows 7,chrome 62.0,1024x768,desktop
DEV_ef64018bd8b1,Trident/7.0 | Windows 10 | ie 11.0 for desktop | Unknown,Trident/7.0,Windows 10,ie 11.0 for desktop,,desktop
DEV_228fca125d67,iOS Device | iOS 11.1.1 | mobile safari 11.0 | 2048x1536,iOS Device,iOS 11.1.1,mobile safari 11.0,2048x1536,mobile
DEV_0e78d5d7c4a2,rv:11.0 | Unknown | ie 11.0 for desktop | Unknown,rv:11.0,,ie 11.0 for desktop,,desktop
DEV_4d39dbd4d5f6,Windows | Windows Vista | chrome 49.0 | 1280x800,Windows,Windows Vista,chrome 49.0,1280x800,desktop
DEV_e734a422ecc2,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 1334x750,iOS Device,iOS 11.0.3,mobile safari 11.0,1334x750,mobile
DEV_0898629a1934,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1440x900,Trident/7.0,Windows 7,ie 11.0 for desktop,1440x900,desktop
DEV_f6ae974d8f68,iOS Device | iOS 10.3.2 | mobile safari 10.0 | 2208x1242,iOS Device,iOS 10.3.2,mobile safari 10.0,2208x1242,mobile
DEV_ca40963aeab6,Windows | Windows 10 | chrome 62.0 | 1600x900,Windows,Windows 10,chrome 62.0,1600x900,desktop
DEV_10c6cb72b1ad,Windows | Windows 7 | chrome 62.0 | 1440x900,Windows,Windows 7,chrome 62.0,1440x900,desktop
DEV_fc095f8c4442,MacOS | Mac OS X 10_11_6 | chrome 62.0 | 1920x1080,MacOS,Mac OS X 10_11_6,chrome 62.0,1920x1080,desktop
DEV_9695564381ca,Windows | Windows 10 | chrome 62.0 | 1280x1024,Windows,Windows 10,chrome 62.0,1280x1024,desktop
DEV_4ab7bac268dc,Windows | Windows Vista | ie | 1366x768,Windows,Windows Vista,ie,1366x768,desktop
DEV_a6be75fde948,Windows | Windows 7 | ie 11.0 for desktop | 1920x1080,Windows,Windows 7,ie 11.0 for desktop,1920x1080,desktop
DEV_292f440a925c,Windows | Windows 7 | firefox 57.0 | 1440x900,Windows,Windows 7,firefox 57.0,1440x900,desktop
DEV_b6f12f645087,iOS Device | iOS 10.3.1 | mobile safari 10.0 | 2001x1125,iOS Device,iOS 10.3.1,mobile safari 10.0,2001x1125,mobile
DEV_4f0d8b3c7de5,Unknown | Unknown | chrome 49.0 | Unknown,,,chrome 49.0,,desktop
DEV_9c7cd9e52747,MacOS | Mac OS X 10_13_1 | safari generic | 2560x1440,MacOS,Mac OS X 10_13_1,safari generic,2560x1440,desktop
DEV_bb817aceec8b,Windows | Windows 10 | edge 16.0 | Unknown,Windows,Windows 10,edge 16.0,,desktop
DEV_b364434da9e9,Windows | Windows 7 | chrome 62.0 | 1280x800,Windows,Windows 7,chrome 62.0,1280x800,desktop
DEV_35c12bc5fc07,MacOS | Mac OS X 10_11_6 | chrome 61.0 | 2560x1600,MacOS,Mac OS X 10_11_6,chrome 61.0,2560x1600,desktop
DEV_4a99de25e309,iOS Device | iOS 11.0.2 | mobile safari 11.0 | 2732x2048,iOS Device,iOS 11.0.2,mobile safari 11.0,2732x2048,mobile
DEV_e35b896f623a,Windows | Unknown | edge 14.0 | Unknown,Windows,,edge 14.0,,desktop
DEV_d7607fe69836,Windows | Windows 7 | chrome 62.0 | 1680x1050,Windows,Windows 7,chrome 62.0,1680x1050,desktop
DEV_bd5768005816,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1920x1080,Trident/7.0,Windows 10,ie 11.0 for desktop,1920x1080,desktop
DEV_dc5014a77d86,Windows | Windows 10 | edge 15.0 | 1600x900,Windows,Windows 10,edge 15.0,1600x900,desktop
DEV_8cc60169f700,rv:57.0 | Mac OS X 10.11 | firefox 57.0 | 1920x1080,rv:57.0,Mac OS X 10.11,firefox 57.0,1920x1080,desktop
DEV_43fa88ceee33,Windows | Windows 10 | firefox 57.0 | 1920x1080,Windows,Windows 10,firefox 57.0,1920x1080,desktop
DEV_c448bfa936e7,Windows | Windows 10 | firefox 57.0 | 1600x900,Windows,Windows 10,firefox 57.0,1600x900,desktop
