from_transaction,to_transaction,delta_seconds
3312855,3313369,0
3313369,3313542,0
3313542,3314234,0
3314234,3315381,0
3315381,3315409,0
3315409,3318748,0
3318748,3319884,0
3319884,3320600,0
3320600,3320614,0
3320614,3320958,0
3320958,3321839,0
3321839,3321941,0
3321941,3325696,0
3325696,3325842,0
3325842,3325933,0
3325933,3329844,0
3329844,3334412,0
3334412,3335053,0
3335053,3336515,0
3336515,3336761,0
3336761,3337852,0
3337852,3339087,0
3339087,3339745,0
3339745,3340895,0
3340895,3341882,0
3341882,3341892,0
3341892,3342057,0
3342057,3342675,0
3342675,3343292,0
3343292,3343334,0
3343334,3344710,0
3344710,3345923,0
3345923,3347220,0
3347220,3348257,0
3348257,3349117,0
3349117,3350873,0
3350873,3351992,0
3351992,3352920,0
3352920,3355243,0
3355243,3355261,0
3355261,3356471,0
3356471,3357182,0
3357182,3357193,0
3357193,3357668,0
3357668,3361046,0
3361046,3362980,0
3362980,3367376,0
3367376,3369066,0
3369066,3369463,0
3369463,3372225,0
3372225,3373300,0
3373300,3375348,0
3375348,3376199,0
3376199,3376228,0
3376228,3376269,0
3376269,3376290,0
3376290,3377874,0
3377874,3378101,0
3378101,3378194,0
3378194,3378224,0
3378224,3378395,0
3378395,3381375,0
3381375,3383037,0
3383037,3387931,0
3387931,3388270,0
3388270,3389696,0
3389696,3391494,0
3391494,3392455,0
3392455,3393106,0
3393106,3394185,0
3394185,3399927,0
3399927,3403734,0
3403734,3404508,0
3404508,3404724,0
3404724,3405583,0
3405583,3411390,0
3411390,3411395,0
3411395,3412010,0
3412010,3412368,0
3412368,3415836,0
3415836,3417237,0
3417237,3417253,0
3417253,3417740,0
3417740,3418808,0
3418808,3419148,0
3419148,3424644,0
3424644,3429309,0
3429309,3429685,0
3429685,3430084,0
3430084,3430643,0
3430643,3432947,0
3432947,3432959,0
3432959,3435274,0
3435274,3435411,0
3435411,3435963,0
3435963,3437236,0
3437236,3444471,0
3444471,3446105,0
3446105,3448964,0
3448964,3452515,0
3452515,3453194,0
3453194,3453663,0
3453663,3455945,0
3455945,3456781,0
3456781,3457479,0
3457479,3457522,0
3457522,3457554,0
3457554,3459310,0
3459310,3462135,0
3462135,3469723,0
3469723,3470960,0
3470960,3471730,0
3471730,3472164,0
3472164,3472316,0
3472316,3475107,0
3475107,3475982,0
3475982,3478146,0
3478146,3478151,0
3478151,3482293,0
3482293,3484237,0
3484237,3485467,0
3485467,3486596,0
3486596,3487607,0
3487607,3488837,0
3488837,3489761,0
3489761,3490427,0
3490427,3490741,0
3490741,3493102,0
3493102,3495225,0
3495225,3499360,0
3499360,3503176,0
3503176,3505014,0
3505014,3505752,0
3505752,3506610,0
3506610,3508215,0
3508215,3510989,0
3510989,3511567,0
3511567,3511827,0
3511827,3511880,0
3511880,3511890,0
3511890,3511960,0
3511960,3512498,0
3512498,3514066,0
3514066,3514899,0
3514899,3515254,0
3515254,3516304,0
3516304,3516316,0
3516316,3520781,0
3520781,3522739,0
3522739,3525327,0
3525327,3526011,0
3526011,3526300,0
3526300,3528334,0
3528334,3529429,0
3529429,3530000,0
3530000,3530017,0
3530017,3534316,0
3534316,3535803,0
3535803,3536931,0
3536931,3536976,0
3536976,3536990,0
3536990,3536994,0
3536994,3537071,0
3537071,3537552,0
3537552,3537908,0
3537908,3540319,0
3540319,3540356,0
3540356,3541007,0
3541007,3541357,0
3541357,3546259,0
3546259,3549995,0
3549995,3551982,0
3551982,3555600,0
3555600,3557651,0
3557651,3558147,0
3558147,3558788,0
3558788,3559574,0
3559574,3562546,0
3562546,3563958,0
3563958,3564234,0
3564234,3564737,0
3564737,3565925,0
3565925,3565952,0
3565952,3566564,0
3566564,3567615,0
3567615,3570041,0
3570041,3571457,0
3571457,3572097,0
3572097,3573281,0
3573281,3574995,0
3574995,3577909,0
3577909,3578919,0
3578919,3582622,0
3000003,3000004,0
3000004,3000018,0
3000018,3000184,0
3000184,3000192,0
3000192,3000195,0
3000195,3000247,0
3000247,3000250,0
3000250,3000766,0
3000766,3001086,0
3001086,3001101,0
3001101,3001166,0
3001166,3001264,0
3001264,3001605,0
3001605,3002036,0
3002036,3002049,0
3002049,3002156,0
3002156,3002282,0
3002282,3002284,0
3002284,3002470,0
3002470,3002968,0
3002968,3002991,0
3002991,3003917,0
3003917,3004036,0
3004036,3004811,0
3004811,3004814,0
3004814,3004975,0
3004975,3004986,0
3004986,3004993,0
3004993,3005162,0
3005162,3005443,0
3005443,3006046,0
3006046,3006196,0
3006196,3006214,0
3006214,3006260,0
3006260,3006488,0
3006488,3006646,0
3006646,3006658,0
3006658,3006669,0
3006669,3006678,0
3006678,3006716,0
3006716,3007157,0
3007157,3007813,0
3007813,3007817,0
3007817,3007843,0
3007843,3007883,0
3007883,3008147,0
3008147,3008883,0
3008883,3008899,0
3008899,3009061,0
3009061,3009546,0
3009546,3009550,0
3009550,3009769,0
3009769,3009785,0
3009785,3010061,0
3010061,3010067,0
3010067,3010339,0
3010339,3010353,0
3010353,3010532,0
3010532,3011239,0
3011239,3011429,0
3011429,3013552,0
3013552,3013560,0
3013560,3013565,0
3013565,3015673,0
3015673,3015784,0
3015784,3016561,0
3016561,3016838,0
3016838,3016972,0
3016972,3017089,0
3017089,3017547,0
3017547,3017807,0
3017807,3020148,0
3020148,3020502,0
3020502,3020723,0
3020723,3020979,0
3020979,3020992,0
3020992,3021807,0
3021807,3021813,0
3021813,3022429,0
3022429,3022779,0
3022779,3023088,0
3023088,3023102,0
3023102,3023875,0
3023875,3024139,0
3024139,3024302,0
3024302,3024479,0
3024479,3024507,0
3024507,3024544,0
3024544,3026657,0
3026657,3027753,0
3027753,3027888,0
3027888,3032862,0
3032862,3033423,0
3033423,3033546,0
3033546,3034358,0
3034358,3035275,0
3035275,3035556,0
3035556,3036126,0
3036126,3036174,0
3036174,3038131,0
3038131,3038972,0
3038972,3039382,0
3039382,3039562,0
3039562,3040124,0
3040124,3040322,0
3040322,3040340,0
3040340,3040361,0
3040361,3041880,0
3041880,3041986,0
3041986,3042308,0
3042308,3042807,0
3042807,3043691,0
3043691,3046362,0
3046362,3047460,0
3047460,3047639,0
3047639,3047922,0
3047922,3047991,0
3047991,3048313,0
3048313,3048708,0
3048708,3048752,0
3048752,3049343,0
3049343,3049961,0
3049961,3050311,0
3050311,3050410,0
3050410,3051344,0
3051344,3052468,0
3052468,3055224,0
3055224,3055267,0
3055267,3055378,0
3055378,3055506,0
3055506,3055693,0
3055693,3055717,0
3055717,3055765,0
3055765,3055802,0
3055802,3055928,0
3055928,3056100,0
3056100,3056131,0
3056131,3056230,0
3056230,3059723,0
3059723,3060076,0
3060076,3061956,0
3061956,3063189,0
3063189,3063228,0
3063228,3063277,0
3063277,3063294,0
3063294,3063344,0
3063344,3063386,0
3063386,3063470,0
3063470,3063885,0
3063885,3063913,0
3063913,3064555,0
3064555,3066141,0
3066141,3066370,0
3066370,3066825,0
3066825,3067133,0
3067133,3068637,0
3068637,3068686,0
3068686,3068781,0
3068781,3069435,0
3069435,3069965,0
3069965,3070122,0
3070122,3070128,0
3070128,3070420,0
3070420,3071001,0
3071001,3071417,0
3071417,3071422,0
3071422,3071432,0
3071432,3071442,0
3071442,3071530,0
3071530,3073562,0
3073562,3073764,0
3073764,3073894,0
3073894,3075394,0
3075394,3075814,0
3075814,3075840,0
3075840,3075865,0
3075865,3075910,0
3075910,3076779,0
3076779,3076817,0
3076817,3077001,0
3077001,3077628,0
3077628,3078304,0
3078304,3079219,0
3079219,3079306,0
3079306,3079325,0
3079325,3079575,0
3079575,3079700,0
3079700,3080203,0
3080203,3081052,0
3081052,3081187,0
3081187,3081921,0
3081921,3083051,0
3083051,3083118,0
3083118,3083649,0
3083649,3085620,0
3085620,3085724,0
3085724,3086198,0
3086198,3086466,0
3086466,3088613,0
3088613,3089094,0
3089094,3089644,0
3089644,3089849,0
3089849,3089957,0
3089957,3091804,0
3091804,3092230,0
3092230,3092642,0
3092642,3093042,0
3093042,3093729,0
3093729,3093917,0
3093917,3094949,0
3094949,3095000,0
3095000,3095234,0
3095234,3095284,0
3095284,3096502,0
3096502,3096527,0
3096527,3096846,0
3096846,3096879,0
3096879,3096893,0
3096893,3096914,0
3096914,3096932,0
3096932,3096989,0
3096989,3097255,0
3097255,3098459,0
3098459,3102401,0
3102401,3103166,0
3103166,3103447,0
3103447,3105160,0
3105160,3106271,0
3106271,3106280,0
3106280,3108043,0
3108043,3108219,0
3108219,3109616,0
3109616,3109802,0
3109802,3110109,0
3110109,3110298,0
3110298,3110451,0
3110451,3110469,0
3110469,3111227,0
3111227,3111448,0
3111448,3111587,0
3111587,3111786,0
3111786,3112460,0
3112460,3113221,0
3113221,3113797,0
3113797,3113804,0
3113804,3114308,0
3114308,3114360,0
3114360,3114436,0
3114436,3115280,0
3115280,3115562,0
3115562,3116334,0
3116334,3116668,0
3116668,3116939,0
3116939,3117199,0
3117199,3117444,0
3117444,3118369,0
3118369,3119022,0
3119022,3119958,0
3119958,3122062,0
3122062,3123736,0
3123736,3123801,0
3123801,3123895,0
3123895,3124539,0
3124539,3124653,0
3124653,3125516,0
3125516,3125526,0
3125526,3125603,0
3125603,3125721,0
3125721,3125898,0
3125898,3126613,0
3126613,3126653,0
3126653,3126675,0
3126675,3126757,0
3126757,3126768,0
3126768,3127629,0
3127629,3128326,0
3128326,3130160,0
3130160,3131339,0
3131339,3132705,0
3132705,3133528,0
3133528,3134252,0
3134252,3135147,0
3135147,3135202,0
3135202,3135250,0
3135250,3135450,0
3135450,3135739,0
3135739,3135943,0
3135943,3137218,0
3137218,3138895,0
3138895,3141067,0
3141067,3141085,0
3141085,3142996,0
3142996,3143049,0
3143049,3143193,0
3143193,3143268,0
3143268,3143286,0
3143286,3143719,0
3143719,3144084,0
3144084,3144820,0
3144820,3144888,0
3144888,3145361,0
3145361,3146715,0
3146715,3146753,0
3146753,3146834,0
3146834,3147028,0
3147028,3147122,0
3147122,3147330,0
3147330,3147347,0
3147347,3148151,0
3148151,3148635,0
3148635,3150053,0
3150053,3150297,0
3150297,3151029,0
3151029,3151436,0
3151436,3151854,0
3151854,3152771,0
3152771,3154631,0
3154631,3154684,0
3154684,3154771,0
3154771,3156105,0
3156105,3156692,0
3156692,3157009,0
3157009,3157126,0
3157126,3157185,0
3157185,3157717,0
3157717,3158077,0
3158077,3158081,0
3158081,3158118,0
3158118,3158561,0
3158561,3159798,0
3159798,3165707,0
3165707,3166828,0
3166828,3166847,0
3166847,3167586,0
3167586,3167860,0
3167860,3167893,0
3167893,3167929,0
3167929,3168048,0
3168048,3169354,0
3169354,3170465,0
3170465,3171988,0
3171988,3172685,0
3172685,3173447,0
3173447,3177796,0
3177796,3179429,0
3179429,3182272,0
3182272,3183164,0
3183164,3183964,0
3183964,3184515,0
3184515,3186600,0
3186600,3186689,0
3186689,3186964,0
3186964,3187251,0
3187251,3187291,0
3187291,3187530,0
3187530,3188271,0
3188271,3189973,0
3189973,3191549,0
3191549,3191981,0
3191981,3192253,0
3192253,3192279,0
3192279,3193796,0
3193796,3193969,0
3193969,3194019,0
3194019,3195658,0
3195658,3195694,0
3195694,3196736,0
3196736,3197565,0
3197565,3199629,0
3199629,3201133,0
3201133,3201148,0
3201148,3201702,0
3201702,3202142,0
3202142,3203209,0
3203209,3203824,0
3203824,3204472,0
3204472,3204581,0
3204581,3204622,0
3204622,3204841,0
3204841,3205604,0
3205604,3205776,0
3205776,3205833,0
3205833,3205837,0
3205837,3205932,0
3205932,3206896,0
3206896,3207034,0
3207034,3207048,0
3207048,3207289,0
3207289,3207483,0
3207483,3207608,0
3207608,3208163,0
3208163,3208197,0
3208197,3208291,0
3208291,3209674,0
3209674,3210764,0
3210764,3210914,0
3210914,3210972,0
3210972,3211852,0
3211852,3211914,0
3211914,3212117,0
3212117,3212526,0
3212526,3212561,0
3212561,3212568,0
3212568,3212577,0
3212577,3216981,0
3216981,3217292,0
3217292,3218981,0
3218981,3218997,0
3218997,3220912,0
3220912,3220996,0
3220996,3221236,0
3221236,3221260,0
3221260,3221493,0
3221493,3222963,0
3222963,3223191,0
3223191,3223228,0
3223228,3223307,0
3223307,3223878,0
3223878,3224548,0
3224548,3224581,0
3224581,3226912,0
3226912,3227327,0
3227327,3227403,0
3227403,3227753,0
3227753,3227835,0
3227835,3228743,0
3228743,3228785,0
3228785,3228798,0
3228798,3228852,0
3228852,3228979,0
3228979,3229095,0
3229095,3229473,0
3229473,3229693,0
3229693,3230690,0
3230690,3230771,0
3230771,3231341,0
3231341,3233679,0
3233679,3235096,0
3235096,3236125,0
3236125,3238500,0
3238500,3239448,0
3239448,3239728,0
3239728,3240578,0
3240578,3242649,0
3242649,3242697,0
3242697,3242842,0
3242842,3244526,0
3244526,3244549,0
3244549,3244569,0
3244569,3244598,0
3244598,3244609,0
3244609,3244710,0
3244710,3245181,0
3245181,3245966,0
3245966,3246014,0
3246014,3247134,0
3247134,3248242,0
3248242,3249022,0
3249022,3250568,0
3250568,3250709,0
3250709,3250718,0
3250718,3250832,0
3250832,3251039,0
3251039,3252839,0
3252839,3253025,0
3253025,3253237,0
3253237,3254978,0
3254978,3255282,0
3255282,3255989,0
3255989,3258163,0
3258163,3259102,0
3259102,3259341,0
3259341,3259503,0
3259503,3259892,0
3259892,3259896,0
3259896,3261771,0
3261771,3262097,0
3262097,3262473,0
3262473,3264183,0
3264183,3264212,0
3264212,3264299,0
3264299,3265102,0
3265102,3265280,0
3265280,3265416,0
3265416,3266837,0
3266837,3267414,0
3267414,3267478,0
3267478,3267846,0
3267846,3268139,0
3268139,3268943,0
3268943,3270452,0
3270452,3270949,0
3270949,3270992,0
3270992,3271000,0
3271000,3271015,0
3271015,3271418,0
3271418,3276390,0
3276390,3276520,0
3276520,3277308,0
3277308,3277346,0
3277346,3277618,0
3277618,3281106,0
3281106,3283181,0
3283181,3283182,0
3283182,3283376,0
3283376,3283491,0
3283491,3284961,0
3284961,3285003,0
3285003,3285379,0
3285379,3285450,0
3285450,3285508,0
3285508,3286134,0
3286134,3286448,0
3286448,3286917,0
3286917,3287134,0
3287134,3288554,0
3288554,3288997,0
3288997,3289230,0
3289230,3290926,0
3290926,3291604,0
3291604,3291785,0
3291785,3292541,0
3292541,3292934,0
3292934,3294145,0
3294145,3294322,0
3294322,3294345,0
3294345,3294352,0
3294352,3294379,0
3294379,3294466,0
3294466,3294574,0
3294574,3294599,0
3294599,3294623,0
3294623,3294998,0
3294998,3295007,0
3295007,3296488,0
3296488,3296502,0
3296502,3296530,0
3296530,3296566,0
3296566,3296654,0
3296654,3298473,0
3298473,3298683,0
3298683,3298684,0
3298684,3298706,0
3298706,3298772,0
3298772,3299027,0
3299027,3300264,0
3300264,3300462,0
3300462,3302284,0
3302284,3302302,0
3302302,3303251,0
3303251,3303264,0
3303264,3304956,0
3304956,3306243,0
3306243,3306283,0
3306283,3306693,0
3306693,3306726,0
3306726,3306731,0
3306731,3306754,0
3306754,3306799,0
3306799,3307112,0
3307112,3308576,0
3308576,3308602,0
3308602,3308952,0
3308952,3309955,0
3309955,3311525,0
3311525,3312122,0
3312122,3313372,0
3313372,3313509,0
3313509,3313746,0
3313746,3314807,0
3314807,3314931,0
3314931,3315125,0
3315125,3315389,0
3315389,3317132,0
3317132,3317206,0
3317206,3318042,0
3318042,3318052,0
3318052,3318913,0
3318913,3318952,0
3318952,3319142,0
3319142,3319735,0
3319735,3319775,0
3319775,3323401,0
3323401,3324603,0
3324603,3324664,0
3324664,3324723,0
3324723,3325302,0
3325302,3326141,0
3326141,3326358,0
3326358,3327577,0
3327577,3327838,0
3327838,3327910,0
3327910,3327927,0
3327927,3331770,0
3331770,3332064,0
3332064,3334167,0
3334167,3337478,0
3337478,3337520,0
3337520,3340115,0
3340115,3341778,0
3341778,3341795,0
3341795,3342206,0
3342206,3342815,0
3342815,3342830,0
3342830,3342871,0
3342871,3344339,0
3344339,3344630,0
3344630,3345326,0
3345326,3345695,0
3345695,3345744,0
3345744,3345746,0
3345746,3345782,0
3345782,3345815,0
3345815,3346982,0
3346982,3348421,0
3348421,3350365,0
3350365,3350712,0
3350712,3351793,0
3351793,3351806,0
3351806,3351879,0
3351879,3352078,0
3352078,3352141,0
3352141,3352198,0
3352198,3352349,0
3352349,3353052,0
3353052,3353904,0
3353904,3354029,0
3354029,3356147,0
3356147,3358028,0
3358028,3358546,0
3358546,3359305,0
3359305,3361592,0
3361592,3362137,0
3362137,3362249,0
3362249,3362573,0
3362573,3362864,0
3362864,3362918,0
3362918,3364098,0
3364098,3364145,0
3364145,3364640,0
3364640,3365430,0
3365430,3365796,0
3365796,3366126,0
3366126,3366272,0
3366272,3366896,0
3366896,3367193,0
3367193,3367951,0
3367951,3368416,0
3368416,3370190,0
3370190,3370805,0
3370805,3371008,0
3371008,3372002,0
3372002,3373404,0
3373404,3373567,0
3373567,3374098,0
3374098,3374131,0
3374131,3374630,0
3374630,3375365,0
3375365,3377950,0
3377950,3377983,0
3377983,3377984,0
3377984,3378004,0
3378004,3378007,0
3378007,3378025,0
3378025,3378026,0
3378026,3378335,0
3378335,3379085,0
3379085,3379213,0
3379213,3379238,0
3379238,3379275,0
3379275,3379315,0
3379315,3379463,0
3379463,3380238,0
3380238,3380313,0
3380313,3380613,0
3380613,3380912,0
3380912,3381765,0
3381765,3382014,0
3382014,3382019,0
3382019,3382450,0
3382450,3382708,0
3382708,3382713,0
3382713,3383294,0
3383294,3384784,0
3384784,3384905,0
3384905,3386032,0
3386032,3386038,0
3386038,3386124,0
3386124,3386133,0
3386133,3386164,0
3386164,3387254,0
3387254,3387314,0
3387314,3387334,0
3387334,3387340,0
3387340,3387353,0
3387353,3387385,0
3387385,3387998,0
3387998,3388069,0
3388069,3388217,0
3388217,3388790,0
3388790,3389705,0
3389705,3390523,0
3390523,3390594,0
3390594,3390945,0
3390945,3391086,0
3391086,3391114,0
3391114,3391145,0
3391145,3391240,0
3391240,3391263,0
3391263,3392145,0
3392145,3392385,0
3392385,3394467,0
3394467,3394479,0
3394479,3394513,0
3394513,3394929,0
3394929,3394950,0
3394950,3395185,0
3395185,3395326,0
3395326,3395360,0
3395360,3395380,0
3395380,3395395,0
3395395,3395573,0
3395573,3395696,0
3395696,3395705,0
3395705,3395829,0
3395829,3395979,0
3395979,3395983,0
3395983,3396549,0
3396549,3397066,0
3397066,3397213,0
3397213,3397223,0
3397223,3397235,0
3397235,3398614,0
3398614,3399016,0
3399016,3399952,0
3399952,3400149,0
3400149,3400221,0
3400221,3400418,0
3400418,3401815,0
3401815,3401816,0
3401816,3401838,0
3401838,3402546,0
3402546,3402848,0
3402848,3404138,0
3404138,3404167,0
3404167,3404246,0
3404246,3404285,0
3404285,3404864,0
3404864,3404886,0
3404886,3404969,0
3404969,3405166,0
3405166,3405303,0
3405303,3405353,0
3405353,3406102,0
3406102,3406318,0
3406318,3406370,0
3406370,3407016,0
3407016,3407250,0
3407250,3407484,0
3407484,3409997,0
3409997,3410351,0
3410351,3411339,0
3411339,3411548,0
3411548,3412374,0
3412374,3413464,0
3413464,3414657,0
3414657,3414788,0
3414788,3414874,0
3414874,3414880,0
3414880,3414883,0
3414883,3414885,0
3414885,3414888,0
3414888,3415452,0
3415452,3416013,0
3416013,3417220,0
3417220,3418021,0
3418021,3418087,0
3418087,3418137,0
3418137,3418620,0
3418620,3419098,0
3419098,3419143,0
3419143,3419633,0
3419633,3420383,0
3420383,3421153,0
3421153,3421267,0
3421267,3421279,0
3421279,3421310,0
3421310,3421322,0
3421322,3421388,0
3421388,3421483,0
3421483,3421502,0
3421502,3421509,0
3421509,3422369,0
3422369,3422940,0
3422940,3422944,0
3422944,3422957,0
3422957,3422979,0
3422979,3424204,0
3424204,3424209,0
3424209,3424262,0
3424262,3424482,0
3424482,3424663,0
3424663,3425033,0
3425033,3425484,0
3425484,3425918,0
3425918,3426464,0
3426464,3429686,0
3429686,3431149,0
3431149,3432435,0
3432435,3432476,0
3432476,3434296,0
3434296,3437387,0
3437387,3437428,0
3437428,3437475,0
3437475,3439552,0
3439552,3439872,0
3439872,3439885,0
3439885,3440205,0
3440205,3440227,0
3440227,3442929,0
3442929,3445821,0
3445821,3445857,0
3445857,3447338,0
3447338,3447379,0
3447379,3447382,0
3447382,3448089,0
3448089,3448251,0
3448251,3448699,0
3448699,3451581,0
3451581,3451625,0
3451625,3452585,0
3452585,3452629,0
3452629,3453171,0
3453171,3455807,0
3455807,3455927,0
3455927,3455984,0
3455984,3457057,0
3457057,3458942,0
3458942,3459500,0
3459500,3459788,0
3459788,3460434,0
3460434,3461729,0
3461729,3465997,0
3465997,3466297,0
3466297,3466360,0
3466360,3466575,0
3466575,3466861,0
3466861,3467795,0
3467795,3467833,0
3467833,3468315,0
3468315,3468384,0
3468384,3472036,0
3472036,3475394,0
3475394,3475402,0
3475402,3475698,0
3475698,3476698,0
3476698,3477634,0
3477634,3477672,0
3477672,3480394,0
3480394,3480401,0
3480401,3481061,0
3481061,3481760,0
3481760,3483482,0
3483482,3483502,0
3483502,3484041,0
3484041,3485039,0
3485039,3485404,0
3485404,3486364,0
3486364,3486628,0
3486628,3488114,0
3488114,3488148,0
3488148,3488158,0
3488158,3489186,0
3489186,3489539,0
3489539,3492996,0
3492996,3493797,0
3493797,3496356,0
3496356,3497446,0
3497446,3497513,0
3497513,3497800,0
3497800,3498967,0
3498967,3500473,0
3500473,3502446,0
3502446,3504839,0
3504839,3507309,0
3507309,3508403,0
3508403,3512382,0
3512382,3512399,0
3512399,3512401,0
3512401,3512406,0
3512406,3512409,0
3512409,3512420,0
3512420,3512442,0
3512442,3512867,0
3512867,3514271,0
3514271,3514296,0
3514296,3514527,0
3514527,3517975,0
3517975,3520602,0
3520602,3521456,0
3521456,3522155,0
3522155,3522171,0
3522171,3523283,0
3523283,3523820,0
3523820,3523856,0
3523856,3523863,0
3523863,3526751,0
3526751,3527040,0
3527040,3529442,0
3529442,3530755,0
3530755,3531980,0
3531980,3532011,0
3532011,3532017,0
3532017,3532090,0
3532090,3534042,0
3534042,3534117,0
3534117,3536302,0
3536302,3537205,0
3537205,3537320,0
3537320,3537387,0
3537387,3538118,0
3538118,3538125,0
3538125,3538211,0
3538211,3539346,0
3539346,3539370,0
3539370,3541289,0
3541289,3542157,0
3542157,3542621,0
3542621,3545530,0
3545530,3545913,0
3545913,3546202,0
3546202,3547432,0
3547432,3550410,0
3550410,3550452,0
3550452,3550463,0
3550463,3551318,0
3551318,3551764,0
3551764,3552046,0
3552046,3552447,0
3552447,3553279,0
3553279,3554254,0
3554254,3556008,0
3556008,3557217,0
3557217,3557679,0
3557679,3557744,0
3557744,3557778,0
3557778,3561248,0
3561248,3565028,0
3565028,3566337,0
3566337,3567914,0
3567914,3567963,0
3567963,3568779,0
3568779,3570670,0
3570670,3571550,0
3571550,3572832,0
3572832,3572879,0
3572879,3574061,0
3574061,3574625,0
3574625,3575687,0
3575687,3576607,0
3576607,3576609,0
3576609,3580314,0
3580314,3580407,0
3580407,3580799,0
3580799,3581632,0
3581632,3581698,0
3581698,3582144,0
3582144,3582485,0
3582485,3582494,0
3582494,3584388,0
3584388,3584469,0
3000005,3000012,0
3000012,3000131,0
3000131,3000163,0
3000163,3000759,0
3000759,3000775,0
3000775,3000859,0
