card_id,customer_id,card_network,card_type,card1,card2,card3,card4,card5,card6
C03771-K1,C03771,visa,debit,16862,,150.0,visa,226.0,debit
C09165-K2,C09165,mastercard,credit,23024,111.0,150.0,mastercard,219.0,credit
C12084-K2,C12084,visa,debit,11753,203.0,150.0,visa,166.0,debit
C03851-K2,C03851,mastercard,debit,15928,111.0,150.0,mastercard,166.0,debit
C01333-K2,C01333,visa,debit,14332,512.0,150.0,visa,226.0,debit
C01521-K2,C01521,visa,credit,15986,296.0,185.0,visa,137.0,credit
C09750-K1,C09750,mastercard,debit,12884,136.0,150.0,mastercard,224.0,debit
C00844-K1,C00844,visa,credit,16199,481.0,150.0,visa,226.0,credit
C07220-K1,C07220,visa,credit,22782,142.0,185.0,visa,226.0,credit
C01563-K1,C01563,visa,credit,10553,555.0,150.0,visa,162.0,credit
C01954-K1,C01954,mastercard,debit,22709,527.0,150.0,mastercard,117.0,debit
C13449-K1,C13449,mastercard,debit,16362,455.0,150.0,mastercard,166.0,debit
C10955-K2,C10955,mastercard,credit,13688,404.0,150.0,mastercard,102.0,credit
C10516-K1,C10516,mastercard,debit,17805,471.0,150.0,mastercard,224.0,debit
C04582-K1,C04582,visa,debit,17185,555.0,150.0,visa,226.0,debit
C02134-K1,C02134,visa,debit,13600,152.0,150.0,visa,226.0,debit
C00331-K1,C00331,visa,debit,22984,476.0,150.0,visa,166.0,debit
C02608-K1,C02608,visa,debit,15835,111.0,150.0,visa,226.0,debit
C06403-K2,C06403,visa,debit,16488,170.0,150.0,visa,226.0,debit
C05196-K1,C05196,visa,debit,17968,555.0,150.0,visa,226.0,debit
C00969-K2,C00969,visa,debit,23224,246.0,150.0,visa,226.0,debit
C00732-K1,C00732,visa,debit,20540,343.0,150.0,visa,166.0,debit
C00094-K3,C00094,mastercard,debit,16429,445.0,150.0,mastercard,224.0,debit
C02902-K2,C02902,visa,debit,18167,490.0,150.0,visa,226.0,debit
C03412-K1,C03412,visa,credit,20714,562.0,150.0,visa,162.0,credit
C10239-K1,C10239,mastercard,debit,19725,144.0,150.0,mastercard,195.0,debit
C07058-K1,C07058,visa,debit,22289,555.0,150.0,visa,226.0,debit
C11883-K1,C11883,american express,credit,14243,399.0,150.0,american express,185.0,credit
C03474-K1,C03474,visa,credit,16511,174.0,150.0,visa,162.0,credit
C06403-K1,C06403,visa,debit,16488,476.0,150.0,visa,226.0,debit
C03649-K1,C03649,mastercard,debit,16212,353.0,150.0,mastercard,117.0,debit
C05958-K1,C05958,mastercard,credit,19195,562.0,150.0,mastercard,149.0,credit
C07803-K1,C07803,mastercard,debit,20506,512.0,150.0,mastercard,117.0,debit
C12124-K1,C12124,visa,debit,11638,321.0,150.0,visa,226.0,debit
C07523-K1,C07523,visa,debit,19549,550.0,150.0,visa,226.0,debit
C09184-K1,C09184,mastercard,debit,21598,225.0,150.0,mastercard,224.0,debit
C05128-K1,C05128,visa,debit,21222,111.0,150.0,visa,226.0,debit
C04034-K2,C04034,mastercard,credit,20270,177.0,185.0,mastercard,137.0,credit
C03556-K1,C03556,visa,debit,22121,,150.0,visa,166.0,debit
C08120-K1,C08120,visa,debit,14465,302.0,150.0,visa,226.0,debit
C05961-K1,C05961,visa,debit,16389,365.0,150.0,visa,226.0,debit
C05098-K1,C05098,mastercard,debit,12553,543.0,150.0,mastercard,224.0,debit
C10778-K1,C10778,mastercard,credit,17715,111.0,150.0,mastercard,224.0,credit
C05276-K2,C05276,visa,debit,12852,290.0,150.0,visa,226.0,debit
C11309-K1,C11309,visa,credit,21775,583.0,150.0,visa,226.0,credit
C05277-K1,C05277,mastercard,debit,17205,543.0,150.0,mastercard,224.0,debit
C10397-K1,C10397,visa,debit,11743,132.0,150.0,visa,226.0,debit
C04313-K1,C04313,visa,credit,12600,474.0,150.0,visa,226.0,credit
C11873-K2,C11873,mastercard,debit,13594,514.0,150.0,mastercard,224.0,debit
C10553-K1,C10553,visa,debit,12425,490.0,150.0,visa,195.0,debit
C05010-K1,C05010,mastercard,credit,10383,584.0,150.0,mastercard,102.0,credit
C11929-K2,C11929,visa,debit,18650,442.0,150.0,visa,226.0,debit
C08749-K1,C08749,visa,debit,10852,555.0,150.0,visa,226.0,debit
C06678-K1,C06678,visa,debit,12711,182.0,150.0,visa,226.0,debit
C13372-K1,C13372,mastercard,credit,17525,459.0,185.0,mastercard,224.0,credit
C09827-K1,C09827,mastercard,debit,15051,372.0,150.0,mastercard,117.0,debit
C05258-K1,C05258,mastercard,debit,10381,543.0,150.0,mastercard,224.0,debit
C01959-K1,C01959,american express,credit,12436,399.0,150.0,american express,236.0,credit
C03883-K1,C03883,,,18405,,,,,
C07227-K2,C07227,mastercard,debit,23292,178.0,150.0,mastercard,224.0,debit
C03858-K1,C03858,visa,debit,22451,555.0,150.0,visa,226.0,debit
C07504-K1,C07504,mastercard,debit,22533,532.0,150.0,mastercard,224.0,debit
C04707-K1,C04707,visa,debit,13285,555.0,150.0,visa,226.0,debit
C11917-K1,C11917,mastercard,debit,19842,310.0,150.0,mastercard,224.0,debit
C11468-K1,C11468,mastercard,credit,22748,174.0,150.0,mastercard,,credit
C07936-K2,C07936,visa,debit,23194,111.0,150.0,visa,226.0,debit
C00773-K2,C00773,mastercard,debit,20065,396.0,150.0,mastercard,224.0,debit
C01347-K2,C01347,visa,credit,13073,562.0,150.0,visa,226.0,credit
C11294-K2,C11294,mastercard,credit,17210,562.0,150.0,mastercard,219.0,credit
C10911-K1,C10911,mastercard,debit,11341,543.0,150.0,mastercard,224.0,debit
C02575-K2,C02575,mastercard,debit,21514,111.0,150.0,mastercard,195.0,debit
C11743-K2,C11743,mastercard,debit,15582,396.0,150.0,mastercard,224.0,debit
C09286-K2,C09286,mastercard,debit,12542,122.0,150.0,mastercard,126.0,debit
C12426-K1,C12426,visa,debit,15897,181.0,150.0,visa,226.0,debit
C04893-K1,C04893,visa,debit,15925,174.0,150.0,visa,166.0,debit
C12311-K2,C12311,mastercard,debit,12283,111.0,150.0,mastercard,224.0,debit
C07858-K2,C07858,visa,debit,15913,298.0,150.0,visa,226.0,debit
C04543-K1,C04543,mastercard,debit,22924,369.0,150.0,mastercard,117.0,debit
C12417-K1,C12417,mastercard,debit,10123,555.0,150.0,mastercard,117.0,debit
C00129-K2,C00129,visa,debit,15785,355.0,150.0,visa,166.0,debit
C01254-K1,C01254,mastercard,debit,11468,144.0,150.0,mastercard,224.0,debit
C08072-K1,C08072,visa,credit,11906,583.0,150.0,visa,226.0,credit
C04383-K1,C04383,mastercard,debit,21874,369.0,150.0,mastercard,224.0,debit
C04798-K2,C04798,visa,debit,12292,158.0,150.0,visa,226.0,debit
C09666-K2,C09666,visa,debit,20512,111.0,150.0,visa,226.0,debit
C04696-K1,C04696,visa,credit,20144,555.0,150.0,visa,226.0,credit
C08824-K1,C08824,visa,debit,19745,361.0,150.0,visa,226.0,debit
C09876-K1,C09876,mastercard,credit,20129,348.0,150.0,mastercard,224.0,credit
C05876-K2,C05876,visa,debit,12947,428.0,150.0,visa,166.0,debit
C07871-K1,C07871,visa,credit,18137,583.0,150.0,visa,226.0,credit
C12894-K1,C12894,visa,debit,15649,555.0,150.0,visa,195.0,debit
C04026-K1,C04026,visa,debit,22949,339.0,150.0,visa,226.0,debit
C01974-K1,C01974,visa,debit,11941,555.0,150.0,visa,226.0,debit
C04693-K1,C04693,visa,debit,16930,555.0,150.0,visa,226.0,debit
C10364-K1,C10364,visa,debit,15239,154.0,150.0,visa,226.0,debit
C09981-K2,C09981,visa,debit,19938,276.0,150.0,visa,226.0,debit
C08181-K1,C08181,visa,debit,12559,555.0,150.0,visa,226.0,debit
C12833-K1,C12833,american express,credit,23444,399.0,150.0,american express,198.0,credit
C05782-K1,C05782,visa,debit,20135,251.0,150.0,visa,226.0,debit
C10661-K1,C10661,visa,debit,10519,383.0,150.0,visa,226.0,debit
C07456-K1,C07456,mastercard,debit,19826,460.0,150.0,mastercard,224.0,debit
C08913-K2,C08913,visa,credit,15056,170.0,150.0,visa,226.0,credit
C09159-K1,C09159,mastercard,debit,17071,102.0,150.0,mastercard,117.0,debit
C12572-K1,C12572,mastercard,debit,15626,480.0,150.0,mastercard,224.0,debit
C11522-K2,C11522,visa,credit,15702,181.0,150.0,visa,226.0,credit
C11061-K1,C11061,american express,credit,15023,399.0,150.0,american express,223.0,credit
C03171-K1,C03171,mastercard,debit,18472,555.0,150.0,mastercard,117.0,debit
C10800-K1,C10800,mastercard,debit,20768,555.0,150.0,mastercard,117.0,debit
C10687-K1,C10687,visa,credit,12156,555.0,150.0,visa,226.0,credit
C02817-K1,C02817,mastercard,debit,16167,543.0,150.0,mastercard,224.0,debit
C03714-K1,C03714,mastercard,debit,17708,400.0,150.0,mastercard,224.0,debit
C07671-K2,C07671,mastercard,debit,22756,452.0,150.0,mastercard,117.0,debit
C08614-K1,C08614,visa,debit,19061,111.0,150.0,visa,226.0,debit
C12489-K1,C12489,american express,credit,20779,399.0,150.0,american express,236.0,credit
C11381-K2,C11381,mastercard,debit,12286,225.0,150.0,mastercard,224.0,debit
C01308-K1,C01308,visa,debit,15609,555.0,150.0,visa,226.0,debit
C00823-K1,C00823,mastercard,debit,15931,253.0,150.0,mastercard,224.0,debit
C00424-K1,C00424,visa,debit,10081,555.0,150.0,visa,226.0,debit
C09342-K1,C09342,visa,debit,14364,321.0,150.0,visa,226.0,debit
C13033-K1,C13033,visa,debit,11657,555.0,150.0,visa,226.0,debit
C12738-K1,C12738,visa,debit,20825,555.0,150.0,visa,226.0,debit
C02480-K1,C02480,visa,credit,20879,343.0,150.0,visa,226.0,credit
C03415-K1,C03415,mastercard,credit,20556,225.0,150.0,mastercard,219.0,credit
C08269-K1,C08269,visa,debit,21754,490.0,150.0,visa,226.0,debit
C12030-K1,C12030,visa,credit,18913,528.0,150.0,visa,226.0,credit
C12345-K1,C12345,visa,debit,19900,555.0,150.0,visa,226.0,debit
C11082-K1,C11082,visa,credit,23494,321.0,150.0,visa,226.0,credit
C04865-K1,C04865,mastercard,credit,10800,562.0,150.0,mastercard,219.0,credit
C03320-K1,C03320,visa,debit,11304,302.0,150.0,visa,226.0,debit
C08899-K1,C08899,visa,debit,15399,555.0,150.0,visa,226.0,debit
C02309-K2,C02309,visa,debit,16857,385.0,150.0,visa,226.0,debit
C02380-K1,C02380,mastercard,debit,20216,108.0,150.0,mastercard,117.0,debit
C11539-K2,C11539,visa,credit,18727,111.0,150.0,visa,162.0,credit
C12829-K1,C12829,visa,credit,13090,361.0,150.0,visa,226.0,credit
C03405-K2,C03405,visa,debit,20951,322.0,150.0,visa,195.0,debit
C01374-K1,C01374,mastercard,debit,10190,314.0,150.0,mastercard,224.0,debit
C06253-K1,C06253,mastercard,debit,15845,555.0,150.0,mastercard,224.0,debit
C04762-K1,C04762,visa,debit,20146,555.0,150.0,visa,226.0,debit
C07919-K2,C07919,visa,debit,21961,490.0,150.0,visa,226.0,debit
C10715-K2,C10715,mastercard,debit,17583,161.0,150.0,mastercard,117.0,debit
C06888-K1,C06888,american express,credit,20771,399.0,150.0,american express,150.0,credit
C06890-K1,C06890,mastercard,credit,20464,562.0,150.0,mastercard,102.0,credit
C05595-K2,C05595,mastercard,debit,18042,176.0,185.0,mastercard,224.0,debit
C00051-K1,C00051,mastercard,credit,18038,481.0,150.0,mastercard,102.0,credit
C02923-K1,C02923,visa,credit,22606,507.0,150.0,visa,226.0,credit
C12676-K1,C12676,visa,credit,13815,567.0,150.0,visa,228.0,credit
C08598-K1,C08598,visa,credit,15633,100.0,150.0,visa,226.0,credit
C01252-K1,C01252,mastercard,credit,13679,367.0,150.0,mastercard,224.0,credit
C05443-K1,C05443,visa,debit,12850,555.0,150.0,visa,226.0,debit
C07387-K1,C07387,visa,debit,16731,,150.0,visa,226.0,debit
C06481-K1,C06481,visa,debit,11732,535.0,150.0,visa,226.0,debit
C09584-K1,C09584,visa,debit,20629,555.0,150.0,visa,226.0,debit
C04478-K1,C04478,mastercard,debit,11395,555.0,150.0,mastercard,224.0,debit
C04834-K1,C04834,mastercard,debit,10401,111.0,150.0,mastercard,224.0,debit
C08635-K1,C08635,visa,debit,10513,357.0,150.0,visa,226.0,debit
C03488-K2,C03488,mastercard,credit,11653,415.0,185.0,mastercard,195.0,credit
C11005-K1,C11005,visa,credit,22554,111.0,150.0,visa,162.0,credit
C02764-K1,C02764,visa,debit,19146,512.0,150.0,visa,226.0,debit
C13259-K1,C13259,visa,credit,17326,111.0,150.0,visa,195.0,credit
C11059-K1,C11059,visa,debit,19317,262.0,150.0,visa,226.0,debit
C10585-K2,C10585,visa,credit,12228,,150.0,visa,226.0,credit
C05115-K2,C05115,visa,credit,23504,478.0,150.0,visa,226.0,credit
C13516-K1,C13516,mastercard,debit,11132,485.0,150.0,mastercard,229.0,debit
C03667-K1,C03667,mastercard,debit,18118,225.0,150.0,mastercard,117.0,debit
C04709-K2,C04709,mastercard,debit,10049,237.0,150.0,mastercard,224.0,debit
C11702-K1,C11702,mastercard,credit,10626,500.0,185.0,mastercard,224.0,credit
C01010-K1,C01010,visa,debit,22848,475.0,150.0,visa,226.0,debit
C12572-K2,C12572,mastercard,debit,15626,512.0,150.0,mastercard,224.0,debit
C09657-K2,C09657,visa,credit,12100,545.0,185.0,visa,226.0,credit
C13354-K2,C13354,visa,debit,22029,184.0,150.0,visa,226.0,debit
C07215-K1,C07215,visa,credit,11004,371.0,150.0,visa,226.0,credit
C06348-K1,C06348,visa,debit,13071,196.0,150.0,visa,226.0,debit
C01110-K1,C01110,visa,debit,17155,555.0,150.0,visa,226.0,debit
C01061-K1,C01061,visa,debit,16868,555.0,150.0,visa,226.0,debit
C09820-K2,C09820,visa,debit,18266,,150.0,visa,226.0,debit
C05171-K1,C05171,mastercard,debit,21122,533.0,150.0,mastercard,224.0,debit
C09420-K2,C09420,visa,debit,20395,111.0,150.0,visa,226.0,debit
C11583-K1,C11583,visa,debit,23455,553.0,150.0,visa,226.0,debit
C11906-K1,C11906,visa,debit,15367,462.0,150.0,visa,226.0,debit
C12652-K1,C12652,visa,debit,10651,555.0,150.0,visa,226.0,debit
C00059-K2,C00059,visa,debit,21826,332.0,150.0,visa,226.0,debit
C01286-K1,C01286,american express,credit,20116,399.0,150.0,american express,185.0,credit
C11852-K1,C11852,mastercard,credit,10642,170.0,150.0,mastercard,102.0,credit
C12981-K1,C12981,visa,debit,13540,512.0,150.0,visa,226.0,debit
C01048-K2,C01048,visa,debit,20446,476.0,150.0,visa,166.0,debit
C07335-K1,C07335,visa,debit,18385,350.0,150.0,visa,226.0,debit
C04062-K1,C04062,mastercard,debit,10076,532.0,150.0,mastercard,224.0,debit
C11176-K1,C11176,visa,debit,16401,555.0,150.0,visa,226.0,debit
C00089-K1,C00089,mastercard,debit,18634,531.0,150.0,mastercard,229.0,debit
C05448-K1,C05448,visa,debit,23286,302.0,150.0,visa,226.0,debit
C06327-K1,C06327,american express,credit,12616,399.0,150.0,american express,137.0,credit
C04525-K1,C04525,visa,debit,20268,555.0,150.0,visa,226.0,debit
C10320-K1,C10320,visa,credit,13514,321.0,150.0,visa,195.0,credit
C11768-K1,C11768,mastercard,debit,13924,555.0,150.0,mastercard,117.0,debit
C02566-K1,C02566,american express,debit,14042,555.0,117.0,american express,166.0,debit
C10900-K1,C10900,mastercard,credit,20674,225.0,150.0,mastercard,219.0,credit
C11701-K1,C11701,mastercard,credit,15132,555.0,150.0,mastercard,219.0,credit
C02646-K1,C02646,visa,credit,13664,181.0,150.0,visa,226.0,credit
C04764-K1,C04764,american express,credit,13086,399.0,150.0,american express,118.0,credit
C02930-K1,C02930,mastercard,debit,12076,517.0,150.0,mastercard,224.0,debit
C11468-K2,C11468,mastercard,debit,22748,174.0,150.0,mastercard,117.0,debit
C11216-K1,C11216,mastercard,debit,18725,516.0,150.0,mastercard,224.0,debit
C07149-K2,C07149,visa,debit,12848,174.0,150.0,visa,226.0,debit
C09354-K1,C09354,mastercard,credit,12652,500.0,185.0,mastercard,219.0,credit
C01248-K1,C01248,visa,debit,11231,555.0,150.0,visa,226.0,debit
C03651-K2,C03651,mastercard,debit,10639,517.0,150.0,mastercard,224.0,debit
C03722-K1,C03722,mastercard,debit,17006,555.0,150.0,mastercard,117.0,debit
C07741-K2,C07741,mastercard,debit,11672,122.0,150.0,mastercard,195.0,debit
C04701-K1,C04701,mastercard,debit,19212,390.0,150.0,mastercard,224.0,debit
C07997-K1,C07997,visa,credit,21812,170.0,150.0,visa,226.0,credit
C01942-K1,C01942,mastercard,debit,14626,369.0,150.0,mastercard,117.0,debit
C10006-K1,C10006,mastercard,debit,18995,310.0,150.0,mastercard,224.0,debit
C03204-K1,C03204,mastercard,debit,20860,555.0,213.0,mastercard,126.0,debit
C08695-K1,C08695,visa,debit,18909,555.0,150.0,visa,226.0,debit
C08775-K1,C08775,american express,credit,17142,399.0,150.0,american express,236.0,credit
C09191-K1,C09191,visa,debit,10426,555.0,150.0,visa,226.0,debit
C13053-K1,C13053,mastercard,credit,16755,555.0,150.0,mastercard,224.0,credit
C08542-K1,C08542,visa,debit,16205,158.0,150.0,visa,226.0,debit
C11687-K1,C11687,visa,debit,18152,564.0,150.0,visa,226.0,debit
C03839-K1,C03839,mastercard,debit,17665,396.0,150.0,mastercard,219.0,debit
C09087-K1,C09087,visa,debit,12334,555.0,150.0,visa,166.0,debit
C07276-K1,C07276,visa,credit,23349,444.0,150.0,visa,226.0,credit
C08321-K1,C08321,visa,debit,11668,454.0,150.0,visa,226.0,debit
C13346-K1,C13346,mastercard,debit,17038,555.0,150.0,mastercard,117.0,debit
C11494-K1,C11494,visa,debit,16171,243.0,150.0,visa,195.0,debit
C07889-K1,C07889,visa,credit,21391,257.0,150.0,visa,226.0,credit
C04408-K1,C04408,visa,debit,21393,555.0,150.0,visa,226.0,debit
C02346-K1,C02346,visa,debit,23041,454.0,150.0,visa,226.0,debit
C03411-K2,C03411,visa,debit,19473,325.0,150.0,visa,226.0,debit
C01337-K1,C01337,mastercard,debit,18242,543.0,150.0,mastercard,224.0,debit
C03556-K2,C03556,visa,debit,22121,555.0,150.0,visa,166.0,debit
C09650-K1,C09650,american express,credit,15935,399.0,150.0,american express,236.0,credit
C01988-K1,C01988,visa,debit,23069,321.0,150.0,visa,226.0,debit
C04118-K2,C04118,mastercard,debit,19233,194.0,150.0,mastercard,117.0,debit
C00195-K1,C00195,visa,debit,10856,555.0,150.0,visa,226.0,debit
C03670-K1,C03670,visa,debit,10242,555.0,150.0,visa,226.0,debit
